Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Oxford,Entry Standards,514,2009,514.0,2.0,10.0
Cambridge,Entry Standards,530,2009,530.0,1.0,10.0
London School of Economics,Entry Standards,473,2009,473.0,4.0,10.0
Imperial College,Entry Standards,473,2009,473.0,4.0,10.0
Warwick,Entry Standards,452,2009,452.0,9.0,10.0
Durham,Entry Standards,448,2009,448.0,10.0,10.0
St Andrews,Entry Standards,471,2009,471.0,7.0,10.0
University College London,Entry Standards,440,2009,440.0,11.0,10.0
SOAS University of London,Entry Standards,371,2009,371.0,32.0,8.0
Lancaster,Entry Standards,378,2009,378.0,30.0,8.0
York,Entry Standards,429,2009,429.0,15.0,9.0
Leicester,Entry Standards,362,2009,362.0,35.0,7.0
Loughborough,Entry Standards,362,2009,362.0,35.0,7.0
Bath,Entry Standards,430,2009,430.0,13.0,9.0
King's College London,Entry Standards,408,2009,408.0,18.0,9.0
Nottingham,Entry Standards,409,2009,409.0,17.0,9.0
Glasgow,Entry Standards,430,2009,430.0,13.0,9.0
Bristol,Entry Standards,435,2009,435.0,12.0,10.0
Exeter,Entry Standards,385,2009,385.0,28.0,8.0
Southampton,Entry Standards,392,2009,392.0,23.0,9.0
Edinburgh,Entry Standards,466,2009,466.0,8.0,10.0
"Royal Holloway, University of London",Entry Standards,364,2009,364.0,33.0,8.0
Aston,Entry Standards,352,2009,352.0,38.0,7.0
Birmingham,Entry Standards,399,2009,399.0,21.0,9.0
Essex,Entry Standards,309,2009,309.0,51.0,6.0
Sheffield,Entry Standards,406,2009,406.0,19.0,9.0
Newcastle,Entry Standards,398,2009,398.0,22.0,9.0
Manchester,Entry Standards,414,2009,414.0,16.0,9.0
Sussex,Entry Standards,390,2009,390.0,25.0,8.0
Surrey,Entry Standards,340,2009,340.0,43.0,7.0
Strathclyde,Entry Standards,495,2009,495.0,3.0,10.0
Leeds,Entry Standards,387,2009,387.0,26.0,8.0
East Anglia (UEA),Entry Standards,361,2009,361.0,37.0,7.0
"Queen's, Belfast",Entry Standards,363,2009,363.0,34.0,8.0
Kent,Entry Standards,307,2009,307.0,52.0,6.0
Stirling,Entry Standards,324,2009,324.0,44.0,7.0
Cardiff,Entry Standards,386,2009,386.0,27.0,8.0
Reading,Entry Standards,343,2009,343.0,40.0,7.0
Aberdeen,Entry Standards,400,2009,400.0,20.0,9.0
Keele,Entry Standards,315,2009,315.0,48.0,6.0
Brunel University London,Entry Standards,313,2009,313.0,50.0,6.0
Liverpool,Entry Standards,381,2009,381.0,29.0,8.0
"Queen Mary, University of London",Entry Standards,341,2009,341.0,41.0,7.0
Goldsmiths College,Entry Standards,306,2009,306.0,53.0,6.0
Aberystwyth,Entry Standards,300,2009,300.0,54.0,6.0
"City, University of London",Entry Standards,320,2009,320.0,46.0,6.0
Swansea,Entry Standards,296,2009,296.0,56.0,6.0
Hull,Entry Standards,293,2009,293.0,57.0,5.0
Heriot-Watt,Entry Standards,377,2009,377.0,31.0,8.0
Bradford,Entry Standards,269,2009,269.0,70.0,4.0
Ulster,Entry Standards,279,2009,279.0,64.0,5.0
Dundee,Entry Standards,472,2009,472.0,6.0,10.0
Nottingham Trent,Entry Standards,266,2009,266.0,76.0,4.0
Hertfordshire,Entry Standards,249,2009,249.0,86.0,3.0
University of the Arts London,Entry Standards,391,2009,391.0,24.0,8.0
Bangor,Entry Standards,280,2009,280.0,63.0,5.0
Bournemouth,Entry Standards,284,2009,284.0,61.0,5.0
Gloucestershire,Entry Standards,257,2009,257.0,84.0,3.0
Oxford Brookes,Entry Standards,299,2009,299.0,55.0,6.0
Portsmouth,Entry Standards,272,2009,272.0,68.0,4.0
Robert Gordon,Entry Standards,322,2009,322.0,45.0,7.0
West of Scotland,Entry Standards,314,2009,314.0,49.0,6.0
Central Lancashire,Entry Standards,268,2009,268.0,72.0,4.0
De Montfort,Entry Standards,246,2009,246.0,94.0,2.0
"UWIC, Cardiff",Entry Standards,239,2009,239.0,97.0,2.0
West of England,Entry Standards,260,2009,260.0,80.0,3.0
Brighton,Entry Standards,286,2009,286.0,60.0,5.0
Abertay Dundee,Entry Standards,350,2009,350.0,39.0,7.0
Birmingham City,Entry Standards,265,2009,265.0,77.0,4.0
Plymouth,Entry Standards,275,2009,275.0,65.0,5.0
Chichester,Entry Standards,260,2009,260.0,80.0,3.0
Salford,Entry Standards,249,2009,249.0,86.0,3.0
Northumbria,Entry Standards,291,2009,291.0,58.0,5.0
Winchester,Entry Standards,268,2009,268.0,72.0,4.0
Bath Spa,Entry Standards,272,2009,272.0,68.0,5.0
Queen Margaret,Entry Standards,320,2009,320.0,46.0,6.0
