Institution,Metric,Value,Year,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Oxford,Average Teaching Score,100.0,2010,100.0,1.0,10.0,10007774,University of Oxford,1.0
Cambridge,Average Teaching Score,97.0,2010,97.0,2.0,10.0,10007788,University of Cambridge,2.0
St Andrews,Average Teaching Score,87.0,2010,87.0,3.0,10.0,10007803,University of St Andrews,
Warwick,Average Teaching Score,84.0,2010,84.0,4.0,10.0,10007163,University of Warwick,3.0
London School of Economics,Average Teaching Score,82.4,2010,82.4,5.0,10.0,10004063,London School of Economics & Political Science,4.0
UCL,Average Teaching Score,81.5,2010,81.5,6.0,10.0,10007784,University College London,5.0
Edinburgh,Average Teaching Score,78.3,2010,78.3,7.0,10.0,10007790,University of Edinburgh,6.0
Imperial College,Average Teaching Score,77.9,2010,77.9,8.0,10.0,10003270,"Imperial College of Science, Technology and Medicine",7.0
Bath,Average Teaching Score,75.6,2010,75.6,9.0,10.0,10007850,University of Bath (The),
Loughborough,Average Teaching Score,74.6,2010,74.6,10.0,10.0,10004113,Loughborough University,
York,Average Teaching Score,74.4,2010,74.4,11.0,10.0,10007167,University of York,8.0
SOAS,Average Teaching Score,74.2,2010,74.2,12.0,10.0,10007780,School of Oriental and African Studies,
Exeter,Average Teaching Score,73.0,2010,73.0,13.0,9.0,10007792,University of Exeter,9.0
Durham,Average Teaching Score,72.7,2010,72.7,14.0,9.0,10007143,University of Durham,10.0
Leicester,Average Teaching Score,72.0,2010,72.0,15.0,9.0,10007796,University of Leicester,
Lancaster,Average Teaching Score,71.4,2010,71.4,16.0,9.0,10007768,University of Lancaster,
Glasgow,Average Teaching Score,70.7,2010,70.7,17.0,9.0,10007794,University of Glasgow,11.0
Sussex,Average Teaching Score,70.1,2010,70.1,18.0,9.0,10007806,University of Sussex,
Aston,Average Teaching Score,69.9,2010,69.9,19.0,9.0,10007759,Aston University,
Dundee,Average Teaching Score,69.9,2010,69.9,19.0,9.0,10007852,University of Dundee,
City,Average Teaching Score,69.8,2010,69.8,21.0,9.0,10001478,The City University,
Heriot-Watt,Average Teaching Score,69.4,2010,69.4,22.0,9.0,10007764,Heriot-Watt University,
Southampton,Average Teaching Score,69.4,2010,69.4,22.0,9.0,10007158,University of Southampton,12.0
Birmingham,Average Teaching Score,69.1,2010,69.1,24.0,8.0,10000712,University College Birmingham,
King's College London,Average Teaching Score,69.1,2010,69.1,24.0,9.0,10003645,King's College London,13.0
Nottingham,Average Teaching Score,68.7,2010,68.7,26.0,8.0,10007154,University of Nottingham,14.0
Surrey,Average Teaching Score,68.5,2010,68.5,27.0,8.0,10007160,University of Surrey,
Leeds,Average Teaching Score,68.4,2010,68.4,28.0,8.0,10007795,University of Leeds,15.0
Bristol,Average Teaching Score,68.1,2010,68.1,29.0,8.0,10007786,University of Bristol,16.0
Sheffield,Average Teaching Score,67.9,2010,67.9,30.0,8.0,10007157,University of Sheffield,17.0
Royal Holloway,Average Teaching Score,67.7,2010,67.7,31.0,8.0,10005553,Royal Holloway College and Bedford New College,
Bournemouth,Average Teaching Score,67.5,2010,67.5,32.0,8.0,10000824,Bournemouth University,
Manchester,Average Teaching Score,67.5,2010,67.5,32.0,8.0,10007798,The University of Manchester,18.0
Aberdeen,Average Teaching Score,67.2,2010,67.2,34.0,8.0,10007783,University of Aberdeen,
UEA,Average Teaching Score,66.8,2010,66.8,35.0,8.0,10007789,University of East Anglia,
Robert Gordon,Average Teaching Score,66.3,2010,66.3,36.0,7.0,10005500,The Robert Gordon University,
Stirling,Average Teaching Score,66.3,2010,66.3,36.0,7.0,10007804,University of Stirling,
