Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Oxford,Average Teaching Score,100.0,2010,100.0,1.0,10.0
Cambridge,Average Teaching Score,97.0,2010,97.0,2.0,10.0
St Andrews,Average Teaching Score,87.0,2010,87.0,3.0,10.0
Warwick,Average Teaching Score,84.0,2010,84.0,4.0,10.0
London School of Economics,Average Teaching Score,82.4,2010,82.4,5.0,10.0
UCL,Average Teaching Score,81.5,2010,81.5,6.0,10.0
Edinburgh,Average Teaching Score,78.3,2010,78.3,7.0,10.0
Imperial College,Average Teaching Score,77.9,2010,77.9,8.0,10.0
Bath,Average Teaching Score,75.6,2010,75.6,9.0,10.0
Loughborough,Average Teaching Score,74.6,2010,74.6,10.0,10.0
York,Average Teaching Score,74.4,2010,74.4,11.0,10.0
SOAS,Average Teaching Score,74.2,2010,74.2,12.0,10.0
Exeter,Average Teaching Score,73.0,2010,73.0,13.0,9.0
Durham,Average Teaching Score,72.7,2010,72.7,14.0,9.0
Leicester,Average Teaching Score,72.0,2010,72.0,15.0,9.0
Lancaster,Average Teaching Score,71.4,2010,71.4,16.0,9.0
Glasgow,Average Teaching Score,70.7,2010,70.7,17.0,9.0
Sussex,Average Teaching Score,70.1,2010,70.1,18.0,9.0
Aston,Average Teaching Score,69.9,2010,69.9,19.0,9.0
Dundee,Average Teaching Score,69.9,2010,69.9,19.0,9.0
City,Average Teaching Score,69.8,2010,69.8,21.0,9.0
Heriot-Watt,Average Teaching Score,69.4,2010,69.4,22.0,9.0
Southampton,Average Teaching Score,69.4,2010,69.4,22.0,9.0
Birmingham,Average Teaching Score,69.1,2010,69.1,24.0,8.0
King's College London,Average Teaching Score,69.1,2010,69.1,24.0,9.0
Nottingham,Average Teaching Score,68.7,2010,68.7,26.0,8.0
Surrey,Average Teaching Score,68.5,2010,68.5,27.0,8.0
Leeds,Average Teaching Score,68.4,2010,68.4,28.0,8.0
Bristol,Average Teaching Score,68.1,2010,68.1,29.0,8.0
Sheffield,Average Teaching Score,67.9,2010,67.9,30.0,8.0
Royal Holloway,Average Teaching Score,67.7,2010,67.7,31.0,8.0
Bournemouth,Average Teaching Score,67.5,2010,67.5,32.0,8.0
Manchester,Average Teaching Score,67.5,2010,67.5,32.0,8.0
Aberdeen,Average Teaching Score,67.2,2010,67.2,34.0,8.0
UEA,Average Teaching Score,66.8,2010,66.8,35.0,8.0
Robert Gordon,Average Teaching Score,66.3,2010,66.3,36.0,7.0
Stirling,Average Teaching Score,66.3,2010,66.3,36.0,7.0
Strathclyde,Average Teaching Score,66.1,2010,66.1,38.0,7.0
Goldsmiths,Average Teaching Score,66.0,2010,66.0,39.0,7.0
Newcastle,Average Teaching Score,65.1,2010,65.1,40.0,7.0
Reading,Average Teaching Score,64.9,2010,64.9,41.0,7.0
Nottingham Trent,Average Teaching Score,64.8,2010,64.8,42.0,7.0
Edinburgh Napier,Average Teaching Score,64.7,2010,64.7,43.0,7.0
Cardiff,Average Teaching Score,64.3,2010,64.3,44.0,7.0
Kent,Average Teaching Score,64.0,2010,64.0,45.0,7.0
"University of the Arts, London",Average Teaching Score,63.2,2010,63.2,46.0,7.0
Liverpool,Average Teaching Score,62.3,2010,62.3,47.0,7.0
Essex,Average Teaching Score,62.1,2010,62.1,48.0,6.0
"Queen's, Belfast",Average Teaching Score,61.9,2010,61.9,49.0,6.0
Keele,Average Teaching Score,61.6,2010,61.6,50.0,6.0
Plymouth,Average Teaching Score,61.1,2010,61.1,51.0,6.0
Hull,Average Teaching Score,60.1,2010,60.1,52.0,6.0
Northumbria,Average Teaching Score,59.7,2010,59.7,53.0,6.0
Brunel,Average Teaching Score,59.7,2010,59.7,53.0,6.0
Staffordshire,Average Teaching Score,59.2,2010,59.2,55.0,6.0
Oxford Brookes,Average Teaching Score,58.9,2010,58.9,56.0,6.0
Queen Margaret,Average Teaching Score,58.7,2010,58.7,57.0,6.0
Queen Mary,Average Teaching Score,58.7,2010,58.7,57.0,6.0
UWE Bristol,Average Teaching Score,58.3,2010,58.3,59.0,5.0
Bath Spa,Average Teaching Score,56.9,2010,56.9,60.0,5.0
UC Falmouth,Average Teaching Score,56.7,2010,56.7,61.0,5.0
Sunderland,Average Teaching Score,56.6,2010,56.6,62.0,5.0
Birmingham City,Average Teaching Score,56.4,2010,56.4,63.0,5.0
Gloucestershire,Average Teaching Score,56.4,2010,56.4,63.0,5.0
UWIC,Average Teaching Score,56.0,2010,56.0,65.0,5.0
Glasgow Caledonian,Average Teaching Score,55.3,2010,55.3,66.0,5.0
Sheffield Hallam,Average Teaching Score,55.2,2010,55.2,67.0,5.0
"St Mary's UC, Twickenham",Average Teaching Score,55.1,2010,55.1,68.0,5.0
Thames Valley,Average Teaching Score,54.5,2010,54.5,69.0,5.0
Teesside,Average Teaching Score,54.5,2010,54.5,69.0,5.0
Aberystwyth,Average Teaching Score,54.3,2010,54.3,71.0,4.0
Bangor,Average Teaching Score,54.2,2010,54.2,72.0,4.0
Kingston,Average Teaching Score,54.0,2010,54.0,73.0,4.0
Brighton,Average Teaching Score,53.9,2010,53.9,74.0,4.0
Coventry,Average Teaching Score,53.5,2010,53.5,75.0,4.0
Ulster,Average Teaching Score,53.5,2010,53.5,75.0,4.0
De Montfort,Average Teaching Score,53.4,2010,53.4,77.0,4.0
Lampeter,Average Teaching Score,53.3,2010,53.3,78.0,4.0
Portsmouth,Average Teaching Score,53.3,2010,53.3,78.0,4.0
Glamorgan,Average Teaching Score,53.1,2010,53.1,80.0,4.0
Chichester,Average Teaching Score,52.9,2010,52.9,81.0,4.0
Central Lancashire,Average Teaching Score,52.7,2010,52.7,82.0,4.0
Anglia Ruskin,Average Teaching Score,52.4,2010,52.4,83.0,3.0
Bradford,Average Teaching Score,51.8,2010,51.8,84.0,3.0
