,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Filename,unitables2010final copy.xlsx,"University tables, 2011.xlsx","Guardian University Tables, 2012.xlsx","Guardian University Tables, 2013.xlsx",GUARDIAN UNIVERSITY LEAGUE TABLES 2014.xlsx,Undergraduate Guardian University Guide 2015.xlsx,Guardian University Guide 2016_ full tables.xlsx,Guardian University Guide 2017.xlsx,Guardian University Guide 2018.xlsx,Guardian_University_Guide_2019_.xlsx,Guardian_University_Guide_2020.xlsx
Institutional,Institutional Table,6 Ranking,6 Ranking,Institutions,Institutions,Institution,Institution Rankings,Institutional Ranking,Institutional,Institution,Institution
Institutional Header,0,1,0,1,0,2,0,0,0,0,0
Specialists,Specialist HEIs,7 Specialists,7 Specialists,Specialists,Specialists,Specialists,,,,,
S010,1 Med,1 Med,1 Med,1 Med,1 Med,S010 Med,S010 Med,S010 Med,S010 Med,S010 Med,S010 Med
S020,2 Dent,2 Dent,2 Dent,2 Dent,2 Dent,S020 Dent,S020 Dent,S020 Dent,S020 Dent,S020 Dent,S020 Dent
S030,3 Vet,3 Vet,3 Vet,3 Vet,3 Vet,S030 Vet,S030 Vet,S030 Vet,S030 Vet,S030 Vet,S030 Vet
S040,4 Anatomy,4 Anatomy,4 Anatomy,4 Anatomy,4 Anatomy,S040 Anatomy,S040 Anatomy,S040 Anatomy,S040 Anatomy,S040 Anatomy,S040 Anatomy
S050,5 Nursing,5 Nursing,5 Nursing,5 Nursing,5 Nursing,S050 Nursing,S050 Nursing,S050 Nursing,S050 Nursing,S050 Nursing,S050 Nursing
S060,,,,,,S060 Social,S060 Social,S060 Social,S060 Social,S060 Social,S060 Social
S070,6 Health,6 Health,6 Health,6 Health,6 Health,S070 Health,S070 Health,S070 Health,S070 Health,S070 Health,S070 Health
S080,7 Psych,7 Psych,7 Psych,7 Psych,7 Psych,S080 Psych,S080 Psych,S080 Psych,S080 Psych,S080 Psych,S080 Psych
S090,8 Pharm,8 Pharm,8 Pharm,8 Pharm,8 Pharm,S090 Pharm,S090 Pharm,S090 Pharm,S090 Pharm,S090 Pharm,S090 Pharm
S100,9 Bio,9 Bio,9 Bio,9 Bio,9 Bio,S100 Bio,S100 Bio,S100 Bio,S100 Bio,S100 Bio,S100 Bio
S110,10 Chem,10 Chem,10 Chem,10 Chem,10 Chem,S110 Chem,S110 Chem,S110 Chem,S110 Chem,S110 Chem,S110 Chem
S120,31 Archaeology,31 Archaeology,31 Archaeology,31 Archaeology,31 Archaeology,S120 ForArch,S120 ForArch,S120 ForArch,S120 ForArch,S120 ForArch,S120 ForArch
S130,11 Physics,11 Physics,11 Physics,11 Physics,11 Physics,S130 Physics,S130 Physics,S130 Physics,S130 Physics,S130 Physics,S130 Physics
S140,,,,,,S140 Earth,S140 Earth,S140 Earth,S140 Earth,S140 Earth,S140 Earth
S150,12 Agri,12 Agri,12 Agri,12 Agri,12 Agri,S150 Agri,S150 Agri,S150 Agri,S150 Agri,S150 Agri,S150 Agri
S160,14 Gen Eng,14 Gen Eng,14 Gen Eng,14 Gen Eng,14 Gen Eng,S160 GenE,S160 GenE,S160 GenE,S160 GenE,S160 GenE,S160 GenE
S170,15 Chem Eng,15 Chem Eng,15 Chem Eng,15 Chem Eng,15 Chem Eng,S170 ChemE,S170 ChemE,S170 ChemE,S170 ChemE,S170 ChemE,S170 ChemE
S180,16 Mat Eng,16 Mat Eng,16 Mat Eng,16 Mat Eng,16 Mat Eng,S180 MatE,S180 MatE,S180 MatE,S180 MatE,S180 MatE,S180 MatE
S190,19 Mech Eng,19 Mech Eng,19 Mech Eng,19 Mech Eng,19 Mech Eng,S190 MechE,S190 MechE,S190 MechE,S190 MechE,S190 MechE,S190 MechE
S200,17 Civil Eng,17 Civil Eng,17 Civil Eng,17 Civil Eng,17 Civil Eng,S200 CivilE,S200 CivilE,S200 CivilE,S200 CivilE,S200 CivilE,S200 CivilE
S210,18 Elec Eng,18 Elec Eng,18 Elec Eng,18 Elec Eng,18 Elec Eng,S210 ElecE,S210 ElecE,S210 ElecE,S210 ElecE,S210 ElecE,S210 ElecE
S220,21 IT,21 IT,21 IT,21 IT,21 IT,S220 IT,S220 IT,S220 IT,S220 IT,S220 IT,S220 IT
S230,20 Maths,20 Maths,20 Maths,20 Maths,20 Maths,S230 Maths,S230 Maths,S230 Maths,S230 Maths,S230 Maths,S230 Maths
S240,22 Business,22 Business,22 Business,22 Business,22 Business,S240 BusMan,S240 BusMan,S240 BusMan,S240 BusMan,S240 BusMan,S240 BusMan
S250,,,,,,S250 AccFin,S250 AccFin,S250 AccFin,S250 AccFin,S250 AccFin,S250 AccFin
S260,23 Tourism,23 Tourism,23 Tourism,23 Tourism,23 Tourism,S260 Tourism,S260 Tourism,S260 Tourism,S260 Tourism,S260 Tourism,S260 Tourism
S270,13 Geo,13 Geo,13 Geo,13 Geo,13 Geo,S270 Geog,S270 Geog,S270 Geog,S270 Geog,S270 Geog,S270 Geog
S280,25 SocPol,25 SocPol,25 SocPol,25 SocPol,25 SocPol,S280 SocPol,S280 SocPol,S280 SocPol,S280 SocPol,S280 SocPol,S280 SocPol
S290,28 Ed,28 Ed,28 Ed,28 Ed,28 Ed,S290 Ed,S290 Ed,S290 Ed,S290 Ed,S290 Ed,S290 Ed
S300,32 Law,32 Law,32 Law,32 Law,32 Law,S300 Law,S300 Law,S300 Law,S300 Law,S300 Law,S300 Law
S310,33 Socio,33 Socio,33 Socio,33 Socio,33 Socio,S310 Socio,S310 Socio,S310 Socio,S310 Socio,S310 Socio,S310 Socio
S315,,,,,,,,S315 Crim,S315 Crim,S315 Crim,S315 Crim
S320,26 Anth,26 Anth,26 Anth,26 Anth,26 Anth,S320 Anth,S320 Anth,S320 Anth,S320 Anth,S320 Anth,S320 Anth
S330,44 America,44 America,44 America,44 America,44 America,S330 America,S330 America,S330 America,S330 America,S330 America,S330 America
S340,45 History,45 History,45 History,45 History,45 History,S340 History,S340 History,S340 History,S340 History,S340 History,S340 History
S345,,,,,,S345 HofArt,S345 HofArt,S345 HofArt,S345 HofArt,S345 HofArt,S345 HofArt
S350,34 Pol,34 Pol,34 Pol,34 Pol,34 Pol,S350 Pol,S350 Pol,S350 Pol,S350 Pol,S350 Pol,S350 Pol
S360,35 Econ,35 Econ,35 Econ,35 Econ,35 Econ,S360 Econ,S360 Econ,S360 Econ,S360 Econ,S360 Econ,S360 Econ
S370,29 Lang,29 Lang,29 Lang,29 Lang,29 Lang,S370 Lang,S370 Lang,S370 Lang,S370 Lang,S370 Lang,S370 Lang
S380,36 English,36 English,36 English,36 English,36 English,S380 English,S380 English,S380 English,S380 English,S380 English,S380 English
S390,27 Media,27 Media,27 Media,27 Media,27 Media,S390 Media,S390 Media,S390 Media,S390 Media,S390 Media,S390 Media
S395,,,,,,S395 Journ,S395 Journ,S395 Journ,S395 Journ,S395 Journ,S395 Journ
S400,37 Art,37 Art,37 Art,37 Art,37 Art,S400 Art,S400 Art,S400 Art,S400 Art,S400 Art,S400 Art
S410,,,,,,S410 Design,S410 Design,S410 Design,S410 Design,S410 Design,S410 Design
S415,,,,,,S415 Fash,S415 Fash,S415 Fash,S415 Fash,S415 Fash,S415 Fash
S420,39 Drama,39 Drama,39 Drama,39 Drama,39 Drama,S420 Drama,S420 Drama,S420 Drama,S420 Drama,S420 Drama,S420 Drama
S430,,,,,,S430 Film,S430 Film,S430 Film,S430 Film,S430 Film,S430 Film
S440,38 Music,38 Music,38 Music,38 Music,38 Music,S440 Music,S440 Music,S440 Music,S440 Music,S440 Music,S440 Music
S450,40 Architecture,40 Architecture,40 Architecture,40 Architecture,40 Architecture,S450 Arch,S450 Arch,S450 Arch,S450 Arch,S450 Arch,S450 Arch
S460,42 Classics,42 Classics,42 Classics,42 Classics,42 Classics,S460 Class,S460 Class,S460 Class,S460 Class,S460 Class,S460 Class
S470,41 Phil,41 Phil,41 Phil,41 Phil,41 Phil,S470 Phil,S470 Phil,S470 Phil,S470 Phil,S470 Phil,S470 Phil
S480,43 Theo,43 Theo,43 Theo,43 Theo,43 Theo,S480 Theo,S480 Theo,S480 Theo,S480 Theo,S480 Theo,S480 Theo
S490,46 Sports,46 Sports,46 Sports,46 Sports,46 Sports,S490 Sports,S490 Sports,S490 Sports,S490 Sports,S490 Sports,S490 Sports
S500,47 Planning,47 Planning,47 Planning,47 Planning,47 Planning,S500 Plan,S500 Plan,S500 Plan,S500 Plan,S500 Plan,S500 Plan
Human Geo,24 Human Geo,24 Human Geo,24 Human Geo,24 Human Geo,24 Human Geo,,,,,,
