"UKPRN","PROVIDER_NAME","VIEW_NAME","SORT_NAME","ALIAS","FLAT_NAME_NUMBER","BUILDING_NAME_NUMBER","LOCALITY","STREET_NAME","TOWN","POSTCODE","WEBSITE_URL","WIKIPEDIA_URL","GROUPS","LONGITUDE","LATITUDE","EASTING","NORTHING","GTR_ID","HESA_ID"
"10008640","FALMOUTH UNIVERSITY","University College Falmouth","Falmouth, University College","","","Woodlane Campus","","Woodlane","Falmouth","TR11 4RH","http://www.falmouth.ac.uk/","http://en.wikipedia.org/wiki/University_College_Falmouth","","-5.070901","50.149168","180711","32196","E84FC550-A4CC-4B98-A6F9-D15A33829D83","0017"
"10007774","UNIVERSITY OF OXFORD","University of Oxford","Oxford, University of","","","UNIVERSITY OFFICES","","WELLINGTON SQUARE","OXFORD","OX1 2JD","http://www.ox.ac.uk/","http://en.wikipedia.org/wiki/University_of_Oxford","Science_and_Engineering_South, Russell_Group, Oxbridge","-1.262868","51.757644","450974","206807","B1F0E8FE-FE3C-49ED-9C96-1ED75312A8A0","0156"
"10007768","UNIVERSITY OF LANCASTER","University of Lancaster","Lancaster, University of","","","UNIVERSITY HOUSE","BAILRIGG","","LANCASTER","LA1 4YW","http://www.lancs.ac.uk/","http://en.wikipedia.org/wiki/Lancaster_University","1994_Group, N8_Research_Partnership","-2.786905","54.010480","348528","457448","F8C7F869-77D6-4859-96F1-3550A4951F6C","0123"
"10000571","BATH SPA UNIVERSITY","Bath Spa University","Bath Spa University","","","NEWTON PARK","NEWTON ST. LOE","","BATH","BA2 9BN","http://www.bathspa.ac.uk/","http://en.wikipedia.org/wiki/Bath_Spa_University","Million_Plus","-2.437400","51.378739","369654","164501","1A469850-02BA-4814-81EE-E60C851CABC3","0048"
"10007814","CARDIFF UNIVERSITY","Cardiff University","Cardiff University","","","","","PARK PLACE","CARDIFF","CF10 3AT","http://www.cardiff.ac.uk/","http://en.wikipedia.org/wiki/Cardiff_University","GW4, Russell_Group","-3.179907","51.489093","318176","177343","9C10D78F-6430-4CA7-9528-B96B0762A4C6","0179"
"10007158","UNIVERSITY OF SOUTHAMPTON","University of Southampton","Southampton, University of","","","","","UNIVERSITY ROAD","SOUTHAMPTON","SO17 1BJ","http://www.soton.ac.uk/","http://en.wikipedia.org/wiki/University_of_Southampton","Science_and_Engineering_South, Russell_Group","-1.395675","50.934180","442562","115145","30A429E3-83B7-4E41-99C0-14A144F07DFE","0160"
"10007779","THE ROYAL VETERINARY COLLEGE","The Royal Veterinary College","Royal Veterinary College, The","","","","","ROYAL COLLEGE STREET","LONDON","NW1 0TU","http://www.rvc.ac.uk/","http://en.wikipedia.org/wiki/Royal_Veterinary_College","","-0.133498","51.536862","529548","183646","1AB05DA1-4DD6-4843-B416-D7D9441EBFFB","0143"
"10007851","UNIVERSITY OF DERBY","University of Derby","Derby, University of","","","","","KEDLESTON ROAD","DERBY","DE22 1GB","http://www.derby.ac.uk/","http://en.wikipedia.org/wiki/University_of_Derby","Million_Plus","-1.496677","52.938545","433924","338022","FDC92628-BF2E-4EEB-A9EB-2FDED0999959","0057"
"10000824","BOURNEMOUTH UNIVERSITY","Bournemouth University","Bournemouth University","","POOLE HOUSE","TALBOT CAMPUS","","FERN BARROW","POOLE","BH12 5BB","http://www.bournemouth.ac.uk/","http://en.wikipedia.org/wiki/Bournemouth_University","University_Alliance","-1.897159","50.742968","407352","93713","C0088682-E757-4D2A-BA97-C2D411DDCFFB","0050"
"10007162","UNIVERSITY OF THE ARTS, LONDON","University of the Arts, London","London, University of the Arts","","","272","","HIGH HOLBORN","LONDON","WC1V 7EY","http://www.arts.ac.uk/","http://en.wikipedia.org/wiki/University_of_the_Arts_London","","-0.117099","51.517742","530740","181549","8A16A43E-BC29-4E8D-8135-FF787BDF8D86","0024"
"10007804","UNIVERSITY OF STIRLING","University of Stirling","Stirling, University of","","","","","","STIRLING","FK9 4LA","http://www.stir.ac.uk/","http://en.wikipedia.org/wiki/University_of_Stirling","","-3.926787","56.149207","280397","696841","C7510606-A36F-4725-A89B-9D592374972A","0174"
"10007823","EDGE HILL UNIVERSITY","Edge Hill University","Edge Hill University","","","","","ST. HELENS ROAD","ORMSKIRK","L39 4QP","http://www.edgehill.ac.uk/","http://en.wikipedia.org/wiki/Edge_Hill_University","","-2.873372","53.559906","342245","407385","4A64B819-B206-475E-9BCA-03F8C702E939","0016"
"10007160","UNIVERSITY OF SURREY","University of Surrey","Surrey, University of","","","","","","GUILDFORD","GU2 7XH","http://www.surrey.ac.uk/","http://en.wikipedia.org/wiki/University_of_Surrey","","-0.587925","51.242568","498663","150213","67B34D05-3A52-4A09-8FF9-F2398D60E246","0161"
"10007791","UNIVERSITY OF ESSEX","University of Essex","Essex, University of","","","","","WIVENHOE PARK","COLCHESTER","CO4 3SQ","http://www.essex.ac.uk/","http://en.wikipedia.org/wiki/University_of_Essex","1994_Group","0.945058","51.876569","602815","223876","5C29941F-8359-4D5C-9893-4C268A9DF1AC","0118"
"10003945","THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS","The Liverpool Institute for Performing Arts","Liverpool Institute for Performing Arts, The","","","","","Mount Street","Liverpool","L1 9HF","http://www.lipa.ac.uk/","http://en.wikipedia.org/wiki/Liverpool_Institute_for_Performing_Arts","","-2.972271","53.399674","335451","389644","","0209"
"10007802","UNIVERSITY OF READING","University of Reading","Reading, University of","","","WHITEKNIGHTS HOUSE","WHITEKNIGHTS","","READING","RG6 6UR","http://www.reading.ac.uk/","http://en.wikipedia.org/wiki/University_of_Reading","1994_Group","-0.947088","51.440564","473277","171811","E89C3602-0FB4-4044-A918-58966B8A10B2","0157"
"10007806","UNIVERSITY OF SUSSEX","University of Sussex","Sussex, University of","","","SUSSEX HOUSE","FALMER","SOUTHERN RING ROAD","BRIGHTON","BN1 9RH","http://www.sussex.ac.uk/","http://en.wikipedia.org/wiki/University_of_Sussex","1994_Group","-0.087049","50.864464","534715","108961","A8967420-49D3-4509-9912-25FB3EC75B74","0162"
"10007152","UNIVERSITY OF BEDFORDSHIRE","University of Bedfordshire","Bedfordshire, University of","","","","","UNIVERSITY SQUARE","LUTON","LU1 3JU","http://www.beds.ac.uk/","http://en.wikipedia.org/wiki/University_of_Bedfordshire","Million_Plus","-0.411382","51.877870","509451","221114","BA42FE9E-1091-4F26-9645-58A2BECFD230","0026"
"10007150","UNIVERSITY OF KENT","University of Kent","Kent, University of","","","THE REGISTRY","","","CANTERBURY","CT2 7NZ","http://www.kent.ac.uk/","http://en.wikipedia.org/wiki/University_of_Kent","NCUK","1.070918","51.298491","614178","159963","687D087F-AEDD-4BCE-8CF8-E895FC5E9B3D","0122"
