,Academic Reputation,SCORE,SCORE,Employer Reputation,SCORE,SCORE,Faculty Student,SCORE,SCORE,International Faculty,SCORE,SCORE,International Students,SCORE,SCORE,Citations per Faculty,SCORE,SCORE,Arts & Humanities,SCORE,SCORE,Engineering & Technology,SCORE,SCORE,Life Sciences & Medicine,SCORE,SCORE,Natural Sciences,SCORE,SCORE,Social Sciences & Management,SCORE,SCORE,71975,71975_rank,71975_rank_d,71976,71976_rank,71976_rank_d,_rank,_rank_d,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
,"<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">16.06</div></div>",265,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">265</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,France,"<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank small"">N/A</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/ecole-des-hautes-etudes-en-sciences-sociales"">Ecole des Hautes Etudes en Sciences Sociales</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">66.9</div></div>",134,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">134</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">86.7</div></div>",43,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">43</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">47</div></div>",278,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">278</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">32.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">54.8</div></div>",206,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">206</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">32.9</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">39.23</div></div>",30,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">30</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">11</div></div>",292,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">292</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">27.99</div></div>",83,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">83</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,Germany,"<div class=""td-wrap""><div class=""td-wrap-in"">56.33</div></div>",150,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">150</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/rwth-aachen-university"">RWTH Aachen University</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">70.5</div></div>",124,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">124</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">48.6</div></div>",205,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">205</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">69.9</div></div>",142,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">142</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">66.5</div></div>",183,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">183</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">56</div></div>",198,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">198</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">72.5</div></div>",103,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">103</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">25.3</div></div>",116,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">116</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">13.01</div></div>",239,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">239</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">20.41</div></div>",109,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">109</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">22.77</div></div>",134,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">134</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">21.25</div></div>",122,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">122</span></div></div></div>",,,,,,,,,Denmark,"<div class=""td-wrap""><div class=""td-wrap-in"">68.36</div></div>",89,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">89</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/aarhus-university"">Aarhus University</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">43.2</div></div>",255,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">255</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">49.7</div></div>",199,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">199</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">54.9</div></div>",216,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">216</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">89</div></div>",96,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">96</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">92.5</div></div>",54,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">54</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">57.1</div></div>",173,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">173</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.43</div></div>",189,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">189</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">9.35</div></div>",375,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">375</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">15.59</div></div>",181,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">181</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">10.5</div></div>",391,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">391</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">11.55</div></div>",348,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">348</span></div></div></div>",,,,,,,,,United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">54.28</div></div>",162,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">162</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-aberdeen"">University of Aberdeen</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">30.6</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">75.2</div></div>",150,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">150</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">57.4</div></div>",196,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">196</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.3</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">26.3</div></div>",451,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank large"">451- 500  </span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/aberystwyth-university"">Aberystwyth University</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">73.8</div></div>",110,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">110</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">69.5</div></div>",113,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">113</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">41</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">86.9</div></div>",107,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">107</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">92.6</div></div>",52,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">52</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">54.8</div></div>",187,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">187</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">24.37</div></div>",126,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">126</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.52</div></div>",131,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">131</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">25.8</div></div>",67,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">67</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">20.97</div></div>",154,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">154</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.27</div></div>",162,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">162</span></div></div></div>",,,,,,,,,Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">65.27</div></div>",102,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">102</span></div></div></div>",Oceania,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-adelaide"">The University of Adelaide</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">12.68</div></div>",296,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">296</span></div></div></div>",,,,,,,,,Chile,"<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank small"">N/A</span></div></div></div>",Latin America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universidad-adolfo-ibanez"">Universidad Adolfo Ibàñez</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">10.56</div></div>",394,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">394</span></div></div></div>",,,,,,,,,Indonesia,"<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",601,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank large"">601+</span></div></div></div>",Asia,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/airlangga-university"">Airlangga University</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">17.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">40.9</div></div>",269,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">269</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">7.7</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">58</div></div>",167,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">167</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,United States,"<div class=""td-wrap""><div class=""td-wrap-in"">26.78</div></div>",451,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank large"">451- 500  </span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-alabama"">University of Alabama</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">71.6</div></div>",118,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">118</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">46.6</div></div>",217,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">217</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">58.1</div></div>",199,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">199</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">90.8</div></div>",87,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">87</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">71</div></div>",145,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">145</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">52.8</div></div>",203,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">203</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">22.79</div></div>",141,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">141</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.93</div></div>",114,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">114</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.56</div></div>",119,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">119</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">24.73</div></div>",109,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">109</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">17.48</div></div>",180,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">180</span></div></div></div>",,,,,,,,,Canada,"<div class=""td-wrap""><div class=""td-wrap-in"">64.22</div></div>",108,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">108</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-alberta"">University of Alberta</a></div></div>"
