Academic Reputation,SCORE,SCORE,Employer Reputation,SCORE,SCORE,Citations per Paper,SCORE,SCORE,H-index Citations,SCORE,SCORE,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
"<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",1,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">1</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">81.7</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=10</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">86.1</div></div>",31,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">31</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82.1</div></div>",17,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=17</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">91.6</div></div>",1,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">1</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/colorado-school-mines"">Colorado School of Mines</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">60</div></div>",8,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">8</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82.7</div></div>",8,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">8</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">96</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",1,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">1</span></div></div></div>",Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">75.9</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>",Oceania,5,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/curtin-university"">Curtin University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">65.8</div></div>",4,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">4</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">81</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=14</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">92.2</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">86.1</div></div>",11,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">11</span></div></div></div>",Canada,"<div class=""td-wrap""><div class=""td-wrap-in"">75.8</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/mcgill-university"">McGill University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">67</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">71.7</div></div>",31,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">31</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">88.7</div></div>",22,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=22</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">75.5</div></div>",32,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">32</span></div></div></div>",Germany,"<div class=""td-wrap""><div class=""td-wrap-in"">72.5</div></div>",4,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">4</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/technische-universitat-bergakademie-freiberg"">Technische Universität Bergakademie Freiberg</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">60.8</div></div>",7,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">7</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">67.1</div></div>",38,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">38</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">95.2</div></div>",5,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">5</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">94</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">72.2</div></div>",5,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">5</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/pennsylvania-state-university"">Pennsylvania State University</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">61.7</div></div>",5,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">5</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">81</div></div>",15,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=14</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">88.6</div></div>",24,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">24</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">76.9</div></div>",27,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=27</span></div></div></div>",Canada,"<div class=""td-wrap""><div class=""td-wrap-in"">71.9</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/queens-university-kingston"">Queen&#039;s University at Kingston</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">52.2</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82.2</div></div>",9,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">9</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">94</div></div>",8,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">8</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">99.3</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>",Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">71.5</div></div>",7,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">7</span></div></div></div>",Oceania,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-western-australia"">The University of Western Australia</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">59.9</div></div>",9,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">9</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">77.5</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">19</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">90.5</div></div>",14,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">14</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">80.3</div></div>",22,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">22</span></div></div></div>",Chile,"<div class=""td-wrap""><div class=""td-wrap-in"">71.1</div></div>",8,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">8</span></div></div></div>",Latin America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universidad-de-chile"">Universidad de Chile</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">53.2</div></div>",17,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">17</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">86.3</div></div>",4,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=4</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">88.8</div></div>",21,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=20</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">82.7</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">16</span></div></div></div>",Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">69.6</div></div>",9,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">9</span></div></div></div>",Oceania,6,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-new-south-wales-unsw-sydney"">The University of New South Wales (UNSW Sydney)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">53.9</div></div>",16,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">16</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">86.3</div></div>",5,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=4</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">87.2</div></div>",26,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">26</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">81.5</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=19</span></div></div></div>",Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">69.5</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>",Oceania,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-queensland"">The University of Queensland</a></div></div>"
