Employer Reputation,SCORE,SCORE,Academic Reputation,SCORE,SCORE,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
"<div class=""td-wrap""><div class=""td-wrap-in"">91.9</div></div>",5,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">5</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">93.1</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">92.9</div></div>",1,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">1</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/juilliard-school"">The Juilliard School</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">84.9</div></div>",20,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=19</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">94</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">92.2</div></div>",2,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">2</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/royal-college-music"">Royal College of Music</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">59.6</div></div>",74,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">74</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",1,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">1</span></div></div></div>",Austria,"<div class=""td-wrap""><div class=""td-wrap-in"">91.9</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universitat-fur-musik-und-darstellende-kunst-wien"">Universität für Musik und darstellende Kunst Wien</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">84.9</div></div>",19,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=19</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">89.4</div></div>",7,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">7</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">88.5</div></div>",4,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">4</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/royal-academy-music"">Royal Academy of Music</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",1,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">1</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">84.6</div></div>",13,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">13</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">87.7</div></div>",5,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">5</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/new-york-university-nyu"">New York University (NYU)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">58.9</div></div>",77,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">=77</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">92.2</div></div>",4,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">4</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">85.5</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/guildhall-school-music-drama"">Guildhall School of Music and Drama</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">59</div></div>",76,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">76</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">89.9</div></div>",6,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">6</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">83.7</div></div>",7,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>7</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/curtis-institute-music"">Curtis Institute of Music</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">68.7</div></div>",56,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">56</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">87.4</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>",Hong Kong SAR,"<div class=""td-wrap""><div class=""td-wrap-in"">83.7</div></div>",8,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank ""><span class=""sign"">=</span>7</span></div></div></div>",Asia,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/hong-kong-academy-performing-arts"">Hong Kong Academy for Performing Arts</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">60.7</div></div>",71,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">71</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">88.5</div></div>",8,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">8</span></div></div></div>",United Kingdom,"<div class=""td-wrap""><div class=""td-wrap-in"">82.9</div></div>",9,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">9</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/royal-conservatoire-scotland-formerly-royal-scottish-academy-music-drama"">Royal Conservatoire of Scotland (Formerly Royal Scottish Academy of Music and Drama)</a></div></div>"
"<div class=""td-wrap""><div class=""td-wrap-in"">94.6</div></div>",3,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">3</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">78.1</div></div>",24,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">24</span></div></div></div>",United States,"<div class=""td-wrap""><div class=""td-wrap-in"">81.4</div></div>",10,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">10</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/harvard-university"">Harvard University</a></div></div>"
