aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Harvard University,United States,0,Harvard University,466,1,1,private,98.1,3,37.7,32,71.6,16,93.3,1,89.6,2,99.3,1,"Medicine & Dentistry,Other Health",/world-university-rankings/harvard-university
Stanford University,United States,11,Stanford University,467,2,2,private,97.2,5,53.8,13,32.3,40,91.0,2,90.2,1,97.3,2,"Other Health,Medicine & Dentistry",/world-university-rankings/stanford-university
University of Cambridge,United Kingdom,0,University of Cambridge,470,3,3,master_account,97.4,4,49.8,16,78.4,14,90.3,3,88.3,5,88.4,4,Medicine & Dentistry,/world-university-rankings/university-cambridge
University of Oxford,United Kingdom,0,University of Oxford,468,4,4,master_account,99.0,2,59.3,12,60.6,26,90.2,4,88.3,6,88.4,5,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
Imperial College London,United Kingdom,0,Imperial College London,472,5,5,master_account,91.6,15,96.2,3,74.1,15,88.5,5,86.7,12,87.8,8,Medicine & Dentistry,/world-university-rankings/imperial-college-london
Yale University,United States,0,Yale University,475,6,6,private,90.1,21,-,51,65.4,19,88.0,6,88.3,7,89.0,3,Other Health,/world-university-rankings/yale-university
Johns Hopkins University,United States,0,Johns Hopkins University,478,7,7,private,91.1,17,99.9,2,58.0,27,87.9,7,87.9,10,87.8,9,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,8,8,public,92.2,12,-,43,47.4,33,87.7,8,88.5,4,88.2,6,"Medicine & Dentistry,Other Health",/world-university-rankings/university-california-los-angeles
Columbia University,United States,0,Columbia University,476,9,9,private,90.7,20,-,35,94.0,2,86.6,9,83.6,19,82.7,19,"Other Health,Medicine & Dentistry",/world-university-rankings/columbia-university
UCL ucl UCL,United Kingdom,0,UCL,481,9,9,master_account,89.1,22,51.5,15,79.5,13,86.6,10,88.0,9,86.1,11,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,11,11,public,96.1,7,-,41,42.6,35,86.5,11,84.2,18,83.6,16,Other Health,/world-university-rankings/university-california-berkeley
University of Toronto,Canada,0,University of Toronto,483,12,12,master_account,84.6,29,-,48,-,51,85.7,12,88.2,8,84.8,13,"Medicine & Dentistry,Other Health",/world-university-rankings/university-toronto
University of Washington,United States,0,University of Washington,489,13,13,public,93.0,9,37.8,30,53.1,30,85.5,13,87.4,11,83.7,15,"Other Health,Medicine & Dentistry",/world-university-rankings/university-washington
Duke University,United States,0,Duke University,487,14,14,private,91.0,18,99.9,1,49.0,32,84.9,14,83.3,20,83.3,18,,/world-university-rankings/duke-university
