aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,1,1,private,100.0,1,83.5,6,79.1,13,95.1,1,91.9,8,95.5,3,"Veterinary Science,Biological Sciences",/world-university-rankings/massachusetts-institute-technology
Harvard University,United States,0,Harvard University,466,2,2,private,98.2,3,35.9,34,68.1,20,94.7,2,96.5,2,98.4,1,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/harvard-university
Stanford University,United States,11,Stanford University,467,3,3,private,96.3,5,53.8,17,31.4,43,91.7,3,95.4,3,96.1,2,"Sport Science,Veterinary Science,Biological Sciences",/world-university-rankings/stanford-university
牛津大学,United Kingdom,0,University of Oxford,468,4,4,master_account,96.2,7,60.0,13,74.9,17,91.4,4,92.6,6,89.4,5,Biological Sciences,/world-university-rankings/university-oxford
剑桥大学,United Kingdom,0,University of Cambridge,470,5,5,master_account,95.2,11,49.3,18,77.9,15,90.5,5,90.3,11,90.3,4,"Veterinary Science,Biological Sciences",/world-university-rankings/university-cambridge
耶鲁大学,United States,0,Yale University,475,5,5,private,91.0,17,-,50,60.4,27,90.5,6,97.0,1,88.7,6,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/yale-university
加州大学伯克利分校,United States,0,"University of California, Berkeley",474,7,7,public,95.5,10,-,42,42.9,39,90.3,7,94.9,4,87.3,8,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-berkeley
约翰·霍普金斯大学,United States,0,Johns Hopkins University,478,8,8,private,89.9,21,100.0,2,55.7,32,87.8,8,91.9,7,85.7,10,Biological Sciences,/world-university-rankings/johns-hopkins-university
伦敦帝国学院,United Kingdom,0,Imperial College London,472,9,9,master_account,85.9,28,58.2,15,95.2,2,87.7,9,94.0,5,85.2,12,Biological Sciences,/world-university-rankings/imperial-college-london
Princeton University,United States,0,Princeton University,469,10,10,private,98.1,4,-,41,66.5,22,87.3,10,80.8,22,82.8,14,Biological Sciences,/world-university-rankings/princeton-university
伦敦大学学院 ucl UCL,United Kingdom,0,UCL,481,11,11,master_account,85.6,29,36.6,32,88.6,7,85.9,11,90.7,9,85.4,11,Biological Sciences,/world-university-rankings/ucl
加州大学洛杉矶分校,United States,0,"University of California, Los Angeles",477,12,12,public,87.3,26,-,43,46.5,35,83.6,12,86.9,15,81.8,15,"Agriculture & Forestry,Veterinary Science,Sport Science,Biological Sciences",/world-university-rankings/university-california-los-angeles
杜克大学,United States,0,Duke University,487,13,13,private,90.8,19,100.0,1,47.8,33,83.5,13,82.4,21,79.5,18,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/duke-university
加州大学圣地亚哥分校,United States,0,"University of California, San Diego",497,14,14,public,92.9,15,46.2,21,35.7,41,82.1,14,85.0,18,76.1,19,Biological Sciences,/world-university-rankings/university-california-san-diego
华盛顿大学,United States,0,University of Washington,489,15,15,public,89.7,22,37.4,31,56.5,31,81.4,15,85.2,17,74.8,21,"Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-washington
密歇根大学,United States,0,University of Michigan-Ann Arbor,482,16,16,public,79.6,37,78.6,7,70.8,19,81.3,16,87.5,14,79.6,17,"Biological Sciences,Sport Science",/world-university-rankings/university-michigan-ann-arbor
康奈尔大学,United States,0,Cornell University,484,17,17,private,73.2,44,36.0,33,59.3,28,79.9,17,90.4,10,86.3,9,"Biological Sciences,Agriculture & Forestry,Veterinary Science",/world-university-rankings/cornell-university
哥伦比亚大学,United States,0,Columbia University,476,18,18,private,90.0,20,-,38,89.0,6,79.5,18,70.5,28,72.5,23,"Sport Science,Biological Sciences",/world-university-rankings/columbia-university
不列颠哥伦比亚大学 ubc,Canada,11,University of British Columbia,486,19,19,master_account,81.3,35,40.7,26,89.5,5,79.3,19,82.7,20,75.0,20,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-british-columbia
多伦多大学,Canada,0,University of Toronto,483,20,20,master_account,82.8,34,-,47,-,50,78.4,20,78.8,24,72.0,24,"Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-toronto
University of Pennsylvania,United States,0,University of Pennsylvania,480,21,21,private,87.8,24,41.4,25,34.5,42,75.8,21,75.4,26,70.3,26,"Biological Sciences,Veterinary Science",/world-university-rankings/university-pennsylvania
University of Wisconsin,United States,0,University of Wisconsin,925,22,22,master_account,80.3,36,-,48,46.6,34,75.5,22,79.0,23,70.8,25,,/world-university-rankings/university-of-wisconsin
麦吉尔大学,Canada,0,McGill University,492,23,23,master_account,73.4,43,-,40,80.8,10,75.3,23,78.4,25,73.9,22,"Agriculture & Forestry,Biological Sciences,Sport Science,Veterinary Science",/world-university-rankings/mcgill-university
"University of California, Davis",United States,0,"University of California, Davis",503,24,24,public,62.9,48,43.9,24,57.5,30,74.3,24,89.8,12,80.3,16,"Veterinary Science,Sport Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-davis
University of Chicago,United States,11,University of Chicago,473,25,25,private,86.0,27,-,45,73.8,18,73.7,25,65.8,31,64.7,32,Biological Sciences,/world-university-rankings/university-chicago
爱丁堡大学,United Kingdom,0,University of Edinburgh,500,26,26,master_account,85.0,31,40.5,27,64.5,24,73.0,26,68.7,29,65.3,30,"Agriculture & Forestry,Sport Science,Veterinary Science,Biological Sciences",/world-university-rankings/university-edinburgh
Washington University in St Louis,United States,11,Washington University in St Louis,505,27,27,private,90.9,18,-,49,57.7,29,72.0,27,59.9,38,61.0,37,Biological Sciences,/world-university-rankings/washington-university-st-louis
卡罗林斯卡学院,Sweden,0,Karolinska Institute,496,28,28,master_account,64.1,47,59.9,14,-,49,71.6,28,85.2,16,69.5,27,Biological Sciences,/world-university-rankings/karolinska-institute
香港大学 HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,29,29,master_account,95.6,9,49.0,19,90.6,4,71.4,29,55.4,41,52.8,41,Biological Sciences,/world-university-rankings/university-hong-kong
东京大学,Japan,0,The University of Tokyo,494,30,30,master_account,52.6,50,-,46,21.2,46,71.2,30,89.3,13,87.6,7,"Veterinary Science,Biological Sciences,Sport Science,Agriculture & Forestry",/world-university-rankings/university-tokyo
