aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Harvard University,United States,0,Harvard University,466,1,1,private,95.2,7,36.1,27,70.5,19,93.5,1,97.7,3,96.4,1,"Mathematics & Statistics,Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/harvard-university
California Institute of Technology caltech,United States,0,California Institute of Technology,128779,2,2,private,91.5,15,77.0,5,52.6,33,92.4,2,99.2,1,95.6,2,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics",/world-university-rankings/california-institute-technology
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,3,3,private,91.9,14,50.0,13,84.2,11,91.7,3,94.9,6,93.3,4,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/massachusetts-institute-technology
Princeton University,United States,0,Princeton University,469,4,4,private,92.0,13,-,38,69.2,21,90.3,4,93.7,7,88.4,7,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/princeton-university
Stanford University,United States,11,Stanford University,467,5,5,private,91.4,16,59.9,8,30.0,46,90.1,5,97.5,4,94.4,3,"Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/stanford-university
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,6,6,public,87.9,21,-,39,42.2,39,88.5,6,97.9,2,88.4,8,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/university-california-berkeley
University of Chicago,United States,11,University of Chicago,473,7,7,private,95.6,6,-,43,75.5,16,86.1,7,83.6,14,77.6,13,"Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-chicago
University of Cambridge,United Kingdom,0,University of Cambridge,470,8,8,master_account,75.8,38,54.0,10,76.4,15,84.4,8,92.6,8,92.1,5,Mathematics & Statistics,/world-university-rankings/university-cambridge
Yale University,United States,0,Yale University,475,9,9,private,84.2,27,-,50,63.7,25,84.1,9,84.1,13,87.7,9,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/yale-university
University of Oxford,United Kingdom,0,University of Oxford,468,10,10,master_account,71.0,44,67.7,6,78.3,14,82.2,10,92.4,9,89.2,6,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics",/world-university-rankings/university-oxford
ETH Zurich,Switzerland,0,ETH Zurich,479,11,11,master_account,65.1,48,-,35,98.3,1,80.5,11,95.0,5,83.9,12,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/eth-zurich
Cornell University,United States,0,Cornell University,484,12,12,private,89.7,19,36.3,26,61.9,26,80.4,12,82.3,15,73.2,16,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/cornell-university
Imperial College London,United Kingdom,0,Imperial College London,472,13,13,master_account,70.0,46,50.7,12,84.5,10,80.3,13,89.0,11,87.4,10,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/imperial-college-london
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,14,14,public,82.4,29,-,41,48.2,36,79.6,14,85.3,12,75.9,14,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-california-los-angeles
University of Washington,United States,0,University of Washington,489,15,15,public,95.8,5,38.1,22,64.3,24,79.1,15,74.6,18,67.2,20,"Physics & Astronomy,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-washington
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,16,16,public,93.0,11,100.0,3,66.5,22,78.6,16,75.8,17,61.9,25,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/university-california-santa-barbara
Columbia University,United States,0,Columbia University,476,17,17,private,88.1,20,-,33,87.4,5,75.7,17,66.3,23,66.3,21,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/columbia-university
LMU Munich Ludwig-Maximilians-Universität München,Germany,6,LMU Munich,509,18,18,master_account,86.1,25,37.4,24,45.9,37,75.0,18,70.2,19,73.5,15,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/lmu-munich
