aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Harvard University,,United States,0,Harvard University,466,1,1,private,99.9,2,41.0,28,70.3,18,92.6,1,92.7,1,94.0,2,Biological Sciences,/world-university-rankings/harvard-university
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,2,2,private,100.0,1,99.8,4,61.2,25,91.9,2,90.5,5,90.7,4,"Veterinary Science,Biological Sciences",/world-university-rankings/massachusetts-institute-technology
剑桥大学,,United Kingdom,0,University of Cambridge,470,3,3,master_account,96.9,9,42.9,27,83.9,9,91.3,3,87.0,8,94.7,1,"Biological Sciences,Veterinary Science",/world-university-rankings/university-cambridge
牛津大学,,United Kingdom,0,University of Oxford,468,4,4,master_account,97.0,8,50.6,23,87.1,8,91.2,4,89.1,6,90.9,3,Biological Sciences,/world-university-rankings/university-oxford
Stanford University,,United States,11,Stanford University,467,5,5,private,99.5,4,67.8,13,47.4,33,89.6,5,92.4,2,87.5,5,Biological Sciences,/world-university-rankings/stanford-university
加州大学伯克利分校,,United States,0,"University of California, Berkeley",474,6,6,public,98.6,5,36.5,33,36.2,40,87.2,6,91.1,3,87.3,7,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-berkeley
耶鲁大学,,United States,0,Yale University,475,7,7,private,97.4,7,33.5,38,44.3,35,86.8,7,91.0,4,85.5,8,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/yale-university
Princeton University,,United States,0,Princeton University,469,8,8,private,99.7,3,90.3,8,40.3,37,86.1,8,85.1,11,81.8,10,Biological Sciences,/world-university-rankings/princeton-university
伦敦帝国学院,,United Kingdom,0,Imperial College London,472,9,9,master_account,86.5,24,49.7,25,94.2,4,84.5,9,84.5,12,82.4,9,Biological Sciences,/world-university-rankings/imperial-college-london
加州大学洛杉矶分校,,United States,0,"University of California, Los Angeles",477,10,10,public,93.9,14,-,47,41.5,36,82.6,10,85.4,9,80.7,13,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-los-angeles
伦敦大学学院 ucl UCL,,United Kingdom,0,UCL,481,11,11,master_account,83.9,28,31.2,40,87.2,6,81.0,11,79.4,17,81.7,12,Biological Sciences,/world-university-rankings/ucl
University of Chicago,,United States,11,University of Chicago,473,12,12,private,96.2,11,-,48,62.5,24,80.8,12,69.7,26,78.2,16,Biological Sciences,/world-university-rankings/university-chicago
华盛顿大学,,United States,0,University of Washington,489,13,13,public,95.9,12,35.0,37,40.2,38,80.0,13,80.1,16,74.7,21,"Biological Sciences,Sport Science,Agriculture & Forestry",/world-university-rankings/university-washington
不列颠哥伦比亚大学 ubc,,Canada,11,University of British Columbia,486,14,14,master_account,86.7,22,30.1,41,87.1,7,79.4,15,74.5,20,77.4,18,"Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/university-british-columbia
康奈尔大学,,United States,0,Cornell University,484,14,14,private,85.7,25,-,45,47.4,32,79.4,14,85.3,10,77.9,17,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/cornell-university
加州大学圣地亚哥分校,,United States,0,"University of California, San Diego",497,16,16,public,98.6,6,58.7,19,30.9,42,78.9,16,78.5,18,69.3,27,Biological Sciences,/world-university-rankings/university-california-san-diego
Wageningen University & Research,,Netherlands,0,Wageningen University & Research,540,17,17,master_account,72.1,40,100.0,3,82.6,10,78.4,17,82.8,13,79.1,15,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/wageningen-university-research
"University of California, Davis",,United States,0,"University of California, Davis",503,18,18,public,73.9,36,61.1,18,54.1,29,78.2,18,88.1,7,81.8,11,"Veterinary Science,Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-davis
密歇根大学,,United States,0,University of Michigan-Ann Arbor,482,19,19,public,95.0,13,61.2,17,54.1,30,77.6,19,73.2,22,67.6,28,"Sport Science,Biological Sciences",/world-university-rankings/university-michigan-ann-arbor
威斯康星大学麦迪逊分校,,United States,0,University of Wisconsin-Madison,491,20,20,public,88.0,20,64.9,15,22.6,49,77.5,20,78.5,19,79.5,14,"Agriculture & Forestry,Biological Sciences,Sport Science,Veterinary Science",/world-university-rankings/university-wisconsin-madison
ETH Zurich,,Switzerland,0,ETH Zurich,479,21,21,master_account,80.3,31,-,46,96.3,2,76.9,21,71.4,25,73.6,22,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/eth-zurich
