aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Stanford University,,United States,11,Stanford University,467,1,1,private,99.1,5,54.9,16,52.4,24,93.9,1,99.5,1,96.9,2,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/stanford-university
Harvard University,,United States,0,Harvard University,466,2,2,private,99.0,6,40.8,25,61.0,21,93.5,2,98.5,5,95.8,3,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/harvard-university
University of Oxford,,United Kingdom,0,University of Oxford,468,3,3,master_account,88.9,21,86.6,6,87.2,5,92.2,3,95.7,7,92.9,4,"Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/university-oxford
University of Chicago,,United States,11,University of Chicago,473,4,4,private,99.3,3,-,47,54.2,23,91.7,4,95.3,8,92.2,5,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-chicago
Princeton University,,United States,0,Princeton University,469,5,5,private,100.0,1,99.7,3,31.1,42,91.5,5,99.4,2,90.6,8,"Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/princeton-university
Yale University,,United States,0,Yale University,475,6,6,private,95.1,12,29.8,42,47.9,29,89.9,6,92.8,11,97.3,1,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/yale-university
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,7,7,public,96.6,10,95.8,4,40.2,31,89.4,7,99.3,3,84.8,14,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-michigan-ann-arbor
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,8,8,public,94.2,14,-,46,33.9,37,88.4,9,96.7,6,91.0,7,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/university-california-los-angeles
University of Pennsylvania,,United States,0,University of Pennsylvania,480,8,8,private,97.5,9,41.4,24,36.7,33,88.4,10,95.2,9,90.1,9,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology",/world-university-rankings/university-pennsylvania
UCL ucl UCL,,United Kingdom,0,UCL,481,8,8,master_account,93.3,17,32.5,34,89.1,3,88.4,8,92.5,12,84.8,13,"Geography,Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/ucl
University of Cambridge,,United Kingdom,0,University of Cambridge,470,11,11,master_account,80.8,31,39.4,28,81.1,10,86.8,11,91.0,13,92.0,6,"Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-cambridge
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,12,12,public,96.4,11,64.2,12,20.6,50,85.9,12,94.6,10,85.7,11,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/university-wisconsin-madison
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,13,13,public,88.4,22,30.7,41,35.1,35,85.4,13,98.6,4,85.6,12,"Sociology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/university-california-berkeley
Northwestern University,,United States,0,Northwestern University,490,14,14,private,99.1,4,51.1,18,36.4,34,84.8,14,90.7,14,81.7,18,"Politics & International Studies (incl Development Studies),Sociology,Geography,Communication & Media Studies",/world-university-rankings/northwestern-university
London School of Economics and Political Science,,United Kingdom,0,London School of Economics and Political Science,511,15,15,master_account,80.6,32,72.0,9,89.8,2,84.5,15,85.5,19,86.3,10,"Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/london-school-economics-and-political-science
University of British Columbia ubc,,Canada,11,University of British Columbia,486,16,16,master_account,83.5,28,31.0,39,86.2,6,83.7,16,88.9,15,82.2,17,"Politics & International Studies (incl Development Studies),Sociology,Geography,Communication & Media Studies",/world-university-rankings/university-british-columbia
Duke University,,United States,0,Duke University,487,17,17,private,97.6,7,99.8,2,48.6,28,82.9,17,88.0,16,73.0,27,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/duke-university
Australian National University anu,,Australia,0,Australian National University,502,18,18,master_account,71.2,38,52.5,17,85.1,8,80.7,18,87.6,17,82.4,16,"Geography,Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies",/world-university-rankings/australian-national-university
University of Toronto,,Canada,0,University of Toronto,483,18,18,master_account,77.4,34,31.7,37,64.8,19,80.7,19,87.6,18,83.7,15,"Politics & International Studies (incl Development Studies),Geography,Sociology,Communication & Media Studies",/world-university-rankings/university-toronto
Cornell University,,United States,0,Cornell University,484,20,20,private,90.5,20,-,43,51.5,25,78.4,20,83.2,23,73.5,26,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/cornell-university
University of Minnesota,,United States,0,University of Minnesota,506,21,21,public,87.0,25,-,49,27.3,45,78.3,21,84.2,20,79.8,22,"Sociology,Politics & International Studies (incl Development Studies),Geography,Communication & Media Studies",/world-university-rankings/university-minnesota
University of Texas at Austin,,United States,0,University of Texas at Austin,493,22,22,public,81.1,30,58.3,14,33.0,39,77.5,22,83.8,21,80.2,21,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/university-texas-austin
University of North Carolina at Chapel Hill,,United States,0,University of North Carolina at Chapel Hill,507,23,23,public,93.6,16,31.9,36,21.2,49,77.1,23,80.4,25,77.6,23,"Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-north-carolina-chapel-hill
McGill University,,Canada,0,McGill University,492,24,24,master_account,71.1,39,37.7,30,75.5,16,76.7,24,80.1,26,80.8,19,"Communication & Media Studies,Sociology,Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/mcgill-university
