aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
California Institute of Technology caltech,United States,0,California Institute of Technology,128779,1,1,private,99.3,2,81.5,16,51.9,32,94.4,1,99.9,1,97.2,1,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/california-institute-technology
Princeton University,United States,0,Princeton University,469,2,2,private,95.6,4,100.0,3,54.0,28,91.9,2,97.3,3,91.3,7,"General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/princeton-university
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,3,3,private,93.3,8,97.9,8,75.9,14,91.4,3,89.6,16,94.4,2,"Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,4,4,public,94.5,6,72.2,19,49.7,35,90.2,4,99.2,2,90.4,9,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-california-berkeley
Stanford University,United States,11,Stanford University,467,5,5,private,94.2,7,49.6,34,56.6,27,89.4,5,96.0,5,93.2,5,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/stanford-university
University of Cambridge,United Kingdom,0,University of Cambridge,470,5,5,master_account,86.1,14,83.7,14,78.8,12,89.4,6,91.3,10,93.9,3,"General Engineering,Chemical Engineering",/world-university-rankings/university-cambridge
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,7,7,public,91.3,10,-,48,60.0,26,88.4,7,96.7,4,89.6,11,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/university-california-los-angeles
ETH Zurich,Switzerland,0,ETH Zurich,479,8,8,master_account,74.6,21,-,46,86.4,5,86.1,8,94.5,6,90.2,10,"Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/eth-zurich
Georgia Institute of Technology,United States,0,Georgia Institute of Technology,488,9,9,public,80.9,17,78.3,18,63.8,22,85.0,9,91.2,11,88.9,12,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/georgia-institute-technology
Imperial College London,United Kingdom,0,Imperial College London,472,10,10,master_account,74.5,22,71.3,21,86.3,6,84.6,10,89.0,19,91.4,6,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/imperial-college-london
University of Oxford,United Kingdom,0,University of Oxford,468,11,11,master_account,72.1,25,56.8,31,81.8,8,84.1,11,91.0,13,93.3,4,"Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-oxford
National University of Singapore nus,Singapore,6,National University of Singapore,504,12,12,master_account,69.3,28,89.9,12,87.2,4,83.4,12,90.5,14,87.2,16,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/national-university-singapore
University of Texas at Austin,United States,0,University of Texas at Austin,493,13,13,public,78.6,19,87.6,13,52.2,31,82.7,13,91.2,12,84.6,19,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/university-texas-austin
École Polytechnique Fédérale de Lausanne,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,14,14,master_account,89.2,11,44.8,36,88.8,1,81.7,14,79.6,27,81.4,22,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
Carnegie Mellon University,United States,0,Carnegie Mellon University,485,15,15,private,66.0,33,78.4,17,50.3,34,81.3,15,93.9,7,91.1,8,"General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/carnegie-mellon-university
Northwestern University,United States,0,Northwestern University,490,16,16,private,94.8,5,58.3,29,44.1,38,80.7,16,84.1,23,77.2,26,"Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/northwestern-university
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,17,17,public,97.5,3,100.0,4,74.3,15,79.5,17,75.1,33,65.2,43,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-california-santa-barbara
Cornell University,United States,0,Cornell University,484,18,18,private,75.0,20,43.0,37,49.6,36,79.0,18,89.4,17,85.7,18,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/cornell-university
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,19,19,public,58.0,39,61.9,24,60.7,23,77.7,19,92.7,8,87.7,14,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-michigan-ann-arbor
University of Illinois at Urbana-Champaign,United States,0,University of Illinois at Urbana-Champaign,495,20,20,public,60.9,38,-,49,45.3,37,75.8,20,90.0,15,87.6,15,"Chemical Engineering,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-illinois-urbana-champaign
Columbia University,United States,0,Columbia University,476,21,21,private,87.0,13,-,45,64.0,21,75.5,21,70.0,42,75.8,27,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/columbia-university
University of Toronto,Canada,0,University of Toronto,483,22,22,master_account,70.4,27,36.8,42,60.4,24,75.0,22,83.8,24,80.3,23,"Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-toronto
The Hong Kong University of Science and Technology hkust,Hong Kong,11,The Hong Kong University of Science and Technology,526,23,23,master_account,73.2,24,59.4,27,75.9,13,74.4,23,78.9,29,73.2,33,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/hong-kong-university-science-and-technology
Pohang University of Science and Technology (POSTECH) postech,South Korea,0,Pohang University of Science and Technology (POSTECH),517,24,24,master_account,91.8,9,100.0,2,24.1,47,74.3,24,71.5,36,69.4,37,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/pohang-university-science-and-technology-postech
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,25,25,master_account,79.7,18,68.3,23,79.6,9,74.2,25,73.4,34,69.4,38,"Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/university-melbourne
