aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,1,1,private,97.5,5,94.5,5,61.0,27,93.4,1,96.0,4,94.3,1,"Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics",/world-university-rankings/california-institute-technology
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,2,2,public,95.4,10,100.0,3,52.4,37,92.4,2,99.4,1,91.8,8,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/university-california-berkeley
Princeton University,,United States,0,Princeton University,469,3,3,private,93.9,14,86.1,8,58.4,28,92.1,3,98.4,2,93.3,5,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/princeton-university
Stanford University,,United States,11,Stanford University,467,4,4,private,93.3,15,62.4,14,61.1,26,91.1,4,96.4,3,93.9,3,"Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/stanford-university
Harvard University,,United States,0,Harvard University,466,5,5,private,92.5,16,44.8,25,70.7,16,90.9,5,95.2,5,94.3,2,"Mathematics & Statistics,Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/harvard-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,6,6,master_account,88.5,24,70.0,13,80.2,9,89.8,6,92.5,8,93.1,6,Mathematics & Statistics,/world-university-rankings/university-cambridge
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,7,7,private,89.3,21,57.6,19,78.9,11,89.5,7,91.6,9,93.5,4,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/massachusetts-institute-technology
University of Chicago,,United States,11,University of Chicago,473,8,8,private,97.5,6,-,48,66.6,20,88.0,8,85.9,16,86.1,15,"Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-chicago
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,9,9,public,88.5,23,-,46,56.6,32,86.0,9,92.8,7,87.6,13,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-california-los-angeles
University of Oxford,,United Kingdom,0,University of Oxford,468,10,10,master_account,79.6,33,61.4,16,83.7,5,85.5,10,90.2,10,91.1,9,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics",/world-university-rankings/university-oxford
ETH Zurich,,Switzerland,0,ETH Zurich,479,11,11,master_account,74.3,37,-,45,89.9,1,85.1,11,93.8,6,90.2,10,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry",/world-university-rankings/eth-zurich
Cornell University,,United States,0,Cornell University,484,12,12,private,88.1,25,37.2,35,54.6,33,84.8,12,89.6,11,88.5,12,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/cornell-university
Yale University,,United States,0,Yale University,475,13,13,private,83.4,31,34.7,36,63.0,25,84.4,13,87.4,12,93.1,7,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/yale-university
University of Washington,,United States,0,University of Washington,489,14,14,public,95.5,9,42.8,27,54.2,35,83.2,14,86.1,15,76.4,25,"Physics & Astronomy,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-washington
"University of California, Santa Barbara",,United States,0,"University of California, Santa Barbara",499,15,15,public,97.4,7,100.0,4,56.7,31,82.1,15,81.7,22,68.4,33,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics",/world-university-rankings/university-california-santa-barbara
Columbia University,,United States,0,Columbia University,476,16,16,private,89.9,18,-,44,67.9,19,81.7,16,75.4,27,83.8,16,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/columbia-university
Imperial College London,,United Kingdom,0,Imperial College London,472,17,17,master_account,71.6,40,73.3,11,83.0,8,81.5,17,87.3,13,88.8,11,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/imperial-college-london
University of Texas at Austin,,United States,0,University of Texas at Austin,493,18,18,public,83.9,29,91.2,6,57.2,29,80.0,18,84.5,17,75.7,26,"Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy,Chemistry",/world-university-rankings/university-texas-austin
LMU Munich Ludwig-Maximilians-Universität München,,Germany,6,LMU Munich,509,19,19,master_account,90.1,17,40.0,30,54.5,34,79.2,19,75.6,26,79.1,22,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/lmu-munich
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,20,20,public,78.2,35,45.2,23,71.6,15,78.2,20,84.3,18,77.0,23,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/university-michigan-ann-arbor
Northwestern University,,United States,0,Northwestern University,490,21,21,private,94.8,12,62.0,15,46.3,41,77.6,21,78.1,25,65.3,37,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/northwestern-university
École Polytechnique,,France,6,École Polytechnique,527,22,22,master_account,82.5,32,74.9,10,79.4,10,76.9,22,70.8,32,75.3,27,"Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/ecole-polytechnique
École Polytechnique Fédérale de Lausanne,,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,23,23,master_account,94.3,13,37.4,34,89.5,2,76.6,23,63.6,38,67.0,35,"Mathematics & Statistics,Chemistry,Physics & Astronomy",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
University of Illinois at Urbana-Champaign,,United States,0,University of Illinois at Urbana-Champaign,495,24,24,public,75.7,36,-,50,44.1,43,75.5,24,82.0,21,79.6,18,"Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",/world-university-rankings/university-illinois-urbana-champaign
The University of Tokyo,,Japan,0,The University of Tokyo,494,25,25,master_account,70.6,41,59.3,17,25.5,49,74.9,25,84.0,19,86.3,14,"Chemistry,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-tokyo
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,26,26,master_account,83.5,30,89.3,7,72.0,14,73.9,26,71.9,31,62.9,39,"Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry",/world-university-rankings/university-melbourne
University of Toronto,,Canada,0,University of Toronto,483,27,27,master_account,72.8,39,33.8,39,70.2,17,73.4,27,78.6,24,73.5,28,"Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics",/world-university-rankings/university-toronto
Australian National University anu,,Australia,0,Australian National University,502,28,28,master_account,53.2,50,43.7,26,89.0,3,71.9,28,86.4,14,79.1,21,"Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry",/world-university-rankings/australian-national-university
Pierre and Marie Curie University,,France,0,Pierre and Marie Curie University,548,29,29,master_account,68.4,42,30.9,42,66.0,21,71.6,29,73.5,29,79.2,20,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Chemistry",/world-university-rankings/pierre-and-marie-curie-university
University of Colorado Boulder,,United States,0,University of Colorado Boulder,541,30,30,public,89.8,19,-,49,47.5,40,71.3,30,70.3,35,57.2,44,"Chemistry,Mathematics & Statistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-colorado-boulder
