aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Oxford,,United Kingdom,0,University of Oxford,468,1,1,master_account,97.6,1,100.0,1,81.3,12,91.9,1,92.0,2,86.8,4,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
Harvard University,,United States,0,Harvard University,466,2,2,private,96.9,3,37.8,68,71.0,22,91.1,2,94.1,1,90.9,1,"Medicine & Dentistry,Other Health",/world-university-rankings/harvard-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,3,3,master_account,93.4,12,48.7,42,80.1,15,86.8,3,91.6,3,78.7,15,Medicine & Dentistry,/world-university-rankings/university-cambridge
Imperial College London,,United Kingdom,0,Imperial College London,472,4,4,master_account,92.7,14,55.4,33,83.8,8,86.7,4,86.9,10,82.6,10,Medicine & Dentistry,/world-university-rankings/imperial-college-london
Stanford University,,United States,11,Stanford University,467,5,5,private,93.9,9,-,83,52.7,55,86.2,5,91.0,4,84.4,7,"Other Health,Medicine & Dentistry",/world-university-rankings/stanford-university
Columbia University,,United States,0,Columbia University,476,6,6,private,92.0,16,-,76,67.7,25,86.0,6,80.2,16,89.5,2,"Other Health,Medicine & Dentistry",/world-university-rankings/columbia-university
Johns Hopkins University,,United States,0,Johns Hopkins University,478,7,7,private,93.9,8,-,79,63.2,41,84.9,7,84.0,12,83.9,8,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,8,8,public,89.8,26,-,85,43.9,77,84.6,8,88.4,6,88.6,3,"Medicine & Dentistry,Other Health",/world-university-rankings/university-california-los-angeles
UCL ucl UCL,,United Kingdom,0,UCL,481,9,9,master_account,87.3,34,57.1,29,84.2,6,84.2,9,86.6,11,80.1,12,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
Duke University,,United States,0,Duke University,487,10,10,private,95.1,7,-,77,64.9,34,84.1,10,74.6,20,85.7,6,,/world-university-rankings/duke-university
Yale University,,United States,0,Yale University,475,11,11,private,87.2,35,43.0,58,59.3,47,83.1,11,87.4,9,83.6,9,Other Health,/world-university-rankings/yale-university
