aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Stanford University,,United States,11,Stanford University,467,1,1,private,81.6,2,-,88,70.0,23,88.6,1,92.9,5,92.2,2,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/stanford-university
Harvard University,,United States,0,Harvard University,466,2,2,private,73.3,8,36.9,64,66.1,31,86.6,2,93.4,4,92.5,1,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Archaeology",/world-university-rankings/harvard-university
University of Chicago,,United States,11,University of Chicago,473,3,3,private,67.6,25,-,92,64.0,35,85.9,3,95.5,2,88.8,7,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-chicago
University of Cambridge,,United Kingdom,0,University of Cambridge,470,4,4,master_account,52.5,68,53.3,15,72.1,17,84.7,4,95.8,1,90.9,3,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,History, Philosophy & Theology",/world-university-rankings/university-cambridge
University of Oxford,,United Kingdom,0,University of Oxford,468,5,5,master_account,57.9,51,37.6,54,72.4,16,84.2,5,95.1,3,89.1,6,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/university-oxford
Princeton University,,United States,0,Princeton University,469,6,6,private,63.4,37,53.0,17,50.5,64,82.9,6,91.9,7,90.2,4,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Architecture",/world-university-rankings/princeton-university
Yale University,,United States,0,Yale University,475,7,7,private,54.3,63,41.1,30,61.2,46,82.1,7,92.6,6,89.7,5,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology,Architecture",/world-university-rankings/yale-university
UCL ucl UCL,,United Kingdom,0,UCL,481,8,8,master_account,59.8,49,42.2,27,84.8,3,80.8,8,88.4,10,83.2,11,"Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/ucl
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,9,9,public,64.6,33,-,89,56.8,54,80.6,9,86.1,12,87.5,8,"History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,Archaeology",/world-university-rankings/university-california-berkeley
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,10,10,public,68.0,23,-,90,41.4,80,79.8,10,89.8,8,84.6,10,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Architecture",/world-university-rankings/university-california-los-angeles
Columbia University,,United States,0,Columbia University,476,11,11,private,68.3,21,-,77,54.7,57,79.4,11,84.1,14,85.3,9,"History, Philosophy & Theology,Art, Performing Arts & Design,Architecture,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/columbia-university
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,12,12,master_account,60.6,45,40.9,31,76.1,11,77.9,12,86.0,13,79.4,14,"History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-edinburgh
University of Pennsylvania,,United States,0,University of Pennsylvania,480,13,13,private,73.6,7,-,96,59.7,49,76.4,13,75.1,22,82.5,12,"Art, Performing Arts & Design,Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/university-pennsylvania
New York University,,United States,0,New York University,508,14,14,private,65.7,29,-,86,50.0,66,76.2,14,82.8,16,80.6,13,"Architecture,Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/new-york-university
University of Toronto,,Canada,0,University of Toronto,483,15,15,master_account,64.6,34,36.8,73,44.4,74,75.6,15,87.3,11,77.1,15,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture",/world-university-rankings/university-toronto
Australian National University anu,,Australia,0,Australian National University,502,16,16,master_account,72.7,10,41.5,28,75.5,14,75.2,16,88.9,9,64.6,30,"History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design",/world-university-rankings/australian-national-university
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,17,17,public,70.5,15,38.9,41,39.4,82,74.4,17,83.5,15,76.3,17,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics",/world-university-rankings/university-michigan-ann-arbor
University of Sydney UniSyd,,Australia,11,University of Sydney,522,18,18,master_account,64.4,35,45.0,24,76.1,12,72.1,18,75.2,20,73.2,20,"History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design,Architecture",/world-university-rankings/university-sydney
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,19,19,master_account,47.6,79,54.1,13,78.5,8,71.9,19,76.5,19,76.9,16,"History, Philosophy & Theology,Archaeology,Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/university-melbourne
Duke University,,United States,0,Duke University,487,20,20,private,76.5,5,-,79,62.3,39,71.1,20,70.6,26,71.4,21,,/world-university-rankings/duke-university
Cornell University,,United States,0,Cornell University,484,21,21,private,68.7,20,36.8,68,37.6,86,70.7,21,75.1,21,76.0,18,"Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology,Architecture,Languages, Literature & Linguistics",/world-university-rankings/cornell-university
LMU Munich Ludwig-Maximilians-Universität München,,Germany,6,LMU Munich,509,22,22,master_account,45.4,85,73.5,6,63.9,36,70.4,22,78.4,17,73.6,19,"Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/lmu-munich
King’s College London,,United Kingdom,11,King’s College London,520,23,23,master_account,56.4,57,36.8,70,78.6,7,69.7,23,75.0,23,70.0,23,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/kings-college-london
Free University of Berlin,,Germany,0,Free University of Berlin,617,24,24,master_account,42.7,94,38.4,44,56.0,55,67.4,24,77.8,18,71.2,22,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology",/world-university-rankings/free-university-berlin
Leiden University,,Netherlands,6,Leiden University,543,25,25,master_account,43.7,89,38.2,45,67.3,26,65.9,25,73.4,24,68.8,25,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Architecture",/world-university-rankings/leiden-university
McGill University,,Canada,0,McGill University,492,26,26,master_account,62.2,41,-,85,84.7,4,65.2,26,63.9,34,65.0,28,"Art, Performing Arts & Design,Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/mcgill-university
Humboldt University of Berlin,,Germany,0,Humboldt University of Berlin,573,27,27,master_account,43.2,93,-,83,59.1,52,65.1,27,71.2,25,69.4,24,"Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology",/world-university-rankings/humboldt-university-berlin
University of Manchester,,United Kingdom,0,University of Manchester,512,28,28,master_account,74.2,6,37.0,62,67.1,27,64.6,28,64.2,32,62.6,32,"Archaeology,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture",/world-university-rankings/university-manchester
University of Texas at Austin,,United States,0,University of Texas at Austin,493,29,29,public,72.2,12,39.2,39,32.0,97,63.7,29,66.5,29,65.5,26,"Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture",/world-university-rankings/university-texas-austin
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,30,30,public,78.1,4,42.7,25,41.8,79,63.4,30,67.4,28,59.1,36,"Architecture,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-wisconsin-madison
Heidelberg University,,Germany,0,Heidelberg University,537,31,31,master_account,43.6,90,37.4,57,67.9,25,61.8,31,66.4,30,64.9,29,"Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/heidelberg-university-0
"Rutgers, the State University of New Jersey",,United States,0,"Rutgers, the State University of New Jersey",546,32,32,public,70.5,14,-,87,33.3,94,60.6,32,68.2,27,55.6,41,"Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture,Art, Performing Arts & Design",/world-university-rankings/rutgers-state-university-new-jersey-0
University of St Andrews,,United Kingdom,0,University of St Andrews,549,33,33,master_account,43.9,87,37.5,56,78.1,9,60.4,33,64.0,33,61.3,33,"History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-st-andrews
Durham University united kingdom UK  England,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-56154151,United Kingdom,11,Durham University,547,34,34,master_account,55.2,60,46.5,21,62.3,40,60.0,34,59.4,40,63.0,31,"History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/durham-university
University of North Carolina at Chapel Hill,,United States,0,University of North Carolina at Chapel Hill,507,35,35,public,59.9,48,39.3,37,35.1,91,59.3,35,64.3,31,60.3,35,"Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-north-carolina-chapel-hill
Lancaster University,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-49618222,United Kingdom,11,Lancaster University,595,36,36,master_account,73.3,9,36.9,65,66.6,29,59.0,36,54.3,47,58.0,37,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/lancaster-university
Brown University,,United States,0,Brown University,513,37,37,private,50.2,74,-,76,50.0,65,58.3,37,56.8,42,65.1,27,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture,Archaeology",/world-university-rankings/brown-university
University of Vienna,,Austria,0,University of Vienna,603,38,38,master_account,48.0,78,-,98,65.6,33,57.9,38,61.2,36,57.6,39,"Languages, Literature & Linguistics,History, Philosophy & Theology,Archaeology",/world-university-rankings/university-vienna
University of Notre Dame,,United States,0,University of Notre Dame,553,39,39,private,51.8,70,-,95,39.0,83,57.7,39,60.8,38,60.9,34,"Art, Performing Arts & Design,Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-notre-dame-0
University of British Columbia ubc,,Canada,11,University of British Columbia,486,40,40,master_account,71.9,13,37.0,61,65.8,32,57.3,40,55.7,45,52.7,45,"Archaeology,Architecture,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/university-british-columbia
KU Leuven,,Belgium,11,KU Leuven,531,41,41,master_account,46.7,82,98.8,1,62.1,41,56.8,41,60.8,37,53.1,44,"Architecture,Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics",/world-university-rankings/ku-leuven
National University of Singapore nus,,Singapore,6,National University of Singapore,504,42,42,master_account,48.6,77,38.6,43,89.3,1,56.7,42,53.8,48,57.6,38,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture",/world-university-rankings/national-university-singapore
University of Hong Kong HKU Hong Kong University,,Hong Kong,11,University of Hong Kong,498,43,43,master_account,45.4,86,53.9,14,86.9,2,56.0,43,59.5,39,50.6,48,"Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture,Art, Performing Arts & Design",/world-university-rankings/university-hong-kong
Monash University,,Australia,11,Monash University,581,44,44,master_account,43.4,92,64.4,10,76.4,10,55.6,44,54.6,46,56.7,40,"Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology",/world-university-rankings/monash-university
University of Amsterdam uva,,Netherlands,6,University of Amsterdam,556,45,45,master_account,53.4,65,41.2,29,59.3,51,55.1,45,62.7,35,48.3,52,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-amsterdam
University of Warwick,,United Kingdom,0,University of Warwick,622,46,46,master_account,60.2,47,36.8,74,60.3,48,53.7,46,55.9,44,48.6,51,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/university-warwick
University of Tübingen,,Germany,0,University of Tübingen,652,47,47,master_account,63.1,39,57.9,11,42.7,76,53.6,47,51.0,50,54.2,43,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology",/world-university-rankings/university-tubingen
University of Massachusetts,,United States,0,University of Massachusetts,528,48,48,master_account,63.1,38,39.2,38,34.4,93,53.3,48,56.6,43,50.9,47,"Architecture,Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-massachusetts
"Birkbeck, University of London",,United Kingdom,0,"Birkbeck, University of London",613,49,49,master_account,68.9,19,36.9,63,70.5,22,51.9,49,46.2,57,48.0,54,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/birkbeck-university-london
École Normale Supérieure,,France,0,École Normale Supérieure,523,50,50,master_account,78.9,3,-,80,66.2,30,51.8,50,42.8,67,47.6,56,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/ecole-normale-superieure
University of Birmingham,,United Kingdom,11,University of Birmingham,612,51,51,master_account,57.9,50,45.7,23,57.7,53,50.8,51,47.2,54,50.5,49,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/university-birmingham
University of Southern California,,United States,0,University of Southern California,519,52,52,private,56.7,56,-,97,37.0,87,50.3,52,48.9,51,52.2,46,"Archaeology,History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Architecture",/world-university-rankings/university-southern-california
University of Pittsburgh-Pittsburgh campus,,United States,0,University of Pittsburgh-Pittsburgh campus,524,53,53,public,62.7,40,38.2,46,36.8,89,50.1,53,57.6,41,41.2,72,"History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-pittsburgh-pittsburgh-campus
University of Auckland UOA Auckland University,,New Zealand,11,University of Auckland,637,54,54,master_account,52.9,66,76.2,4,72.4,15,49.8,54,42.5,68,49.6,50,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture,Archaeology",/world-university-rankings/university-auckland
"University of California, Santa Barbara",,United States,0,"University of California, Santa Barbara",499,55,55,public,57.1,55,55.6,12,49.7,67,49.5,55,48.4,52,47.0,58,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-california-santa-barbara
London School of Economics and Political Science,,United Kingdom,0,London School of Economics and Political Science,511,56,56,master_account,90.9,1,-,84,20.2,101,48.6,56,52.6,49,36.6,80,"History, Philosophy & Theology",/world-university-rankings/london-school-economics-and-political-science
Georgetown University,,United States,0,Georgetown University,602,57,57,private,57.1,54,-,81,43.5,75,48.5,57,39.3,73,55.5,42,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/georgetown-university
Northwestern University,,United States,0,Northwestern University,490,58,58,private,72.2,11,36.8,71,29.6,100,47.7,58,43.6,62,46.4,61,"Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Architecture",/world-university-rankings/northwestern-university
University of Leeds,,United Kingdom,0,University of Leeds,597,59,59,master_account,57.5,52,39.0,40,53.1,58,47.5,60,46.5,56,43.9,67,"History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-leeds
Ohio State University (Main campus)  ,,United States,0,Ohio State University (Main campus)  ,521,59,59,public,69.4,18,37.4,58,47.2,70,47.5,59,43.0,66,44.1,66,"Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture",/world-university-rankings/ohio-state-university-main-campus
University of Glasgow,,United Kingdom,1,University of Glasgow,566,61,61,master_account,51.7,71,37.9,48,59.5,50,47.0,61,44.9,60,45.3,63,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/university-glasgow
University of Illinois at Urbana-Champaign,,United States,0,University of Illinois at Urbana-Champaign,495,62,62,public,65.0,31,-,93,38.2,84,46.4,62,39.3,74,48.1,53,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Architecture,Archaeology",/world-university-rankings/university-illinois-urbana-champaign
University of Virginia (Main campus)  ,,United States,0,University of Virginia (Main campus)  ,601,63,63,public,56.3,58,39.6,36,36.9,88,46.0,63,43.5,63,46.5,60,"History, Philosophy & Theology,Languages, Literature & Linguistics,Architecture,Archaeology,Art, Performing Arts & Design",/world-university-rankings/university-virginia-main-campus
University of York,,United Kingdom,0,University of York,586,64,64,master_account,70.0,16,36.8,75,62.1,43,45.9,64,37.5,80,42.0,71,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-york
University of Helsinki,,Finland,11,University of Helsinki,555,65,65,master_account,45.9,83,36.9,66,48.8,69,45.3,66,45.1,59,45.1,64,"Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-helsinki
University of Exeter,,United Kingdom,11,University of Exeter,620,65,65,master_account,60.6,46,37.8,50,69.6,24,45.3,65,40.1,70,40.0,74,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/university-exeter
University of Queensland UQ UOQ,,Australia,11,University of Queensland,538,67,67,master_account,51.9,69,42.3,26,75.8,13,45.1,68,45.2,58,36.3,82,"Art, Performing Arts & Design,Architecture,History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics",/world-university-rankings/university-queensland
Macquarie University,,Australia,6,Macquarie University,703,67,67,master_account,57.3,53,40.3,34,83.0,6,45.1,67,38.9,76,39.2,75,"Archaeology,Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/macquarie-university
Ghent University,,Belgium,0,Ghent University,570,69,69,master_account,66.2,27,80.7,3,52.5,61,44.8,69,44.3,61,32.9,95,"Archaeology,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/ghent-university
Chinese University of Hong Kong CUHK,,Hong Kong,11,Chinese University of Hong Kong,662356,70,70,master_account,47.1,81,40.8,33,71.3,21,44.7,70,38.9,75,44.6,65,"Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/chinese-university-hong-kong
Boston University,,United States,0,Boston University,518,71,71,private,69.8,17,36.8,67,41.9,77,44.6,71,32.6,92,47.5,57,"Architecture,Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/boston-university
National Autonomous University of Mexico,,Mexico,0,National Autonomous University of Mexico,897,72,72,master_account,38.1,99,83.6,2,37.9,85,44.3,72,47.1,55,42.7,69,"Architecture,History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/national-autonomous-university-mexico
University of Nottingham,,United Kingdom,0,University of Nottingham,604,73,73,master_account,40.1,97,39.7,35,66.9,28,44.2,73,39.7,72,46.2,62,"Art, Performing Arts & Design,Architecture,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-nottingham
Lund University,,Sweden,0,Lund University,544,74,74,master_account,54.4,62,37.1,60,61.8,44,43.6,74,43.1,65,36.6,81,"Art, Performing Arts & Design,Archaeology,Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/lund-university
Utrecht University utrecht  utrecht university,,Netherlands,0,Utrecht University,532,75,75,master_account,65.8,28,-,101,53.1,59,43.5,76,38.1,79,38.4,76,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/utrecht-university
Emory University,,United States,0,Emory University,539,75,75,private,66.5,26,36.8,69,36.3,90,43.5,75,31.8,93,47.8,55,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/emory-university
Sapienza University of Rome,,Italy,0,Sapienza University of Rome,800,77,77,master_account,23.6,100,47.6,20,31.1,99,42.7,77,48.3,53,46.7,59,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Architecture,Archaeology",/world-university-rankings/sapienza-university-rome
University of Bristol,,United Kingdom,11,University of Bristol,530,78,78,master_account,68.2,22,37.7,51,63.2,38,42.1,78,35.1,82,34.5,91,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-bristol
"University of California, Santa Cruz",,United States,0,"University of California, Santa Cruz",574,79,79,public,63.8,36,-,91,34.7,92,41.7,79,33.5,89,42.7,70,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/university-california-santa-cruz
University of Cape Town UCT,,South Africa,6,University of Cape Town,567,80,80,master_account,39.0,98,68.2,7,64.9,34,41.1,80,41.1,69,35.4,87,"Architecture,History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics",/world-university-rankings/university-cape-town
University of Groningen,,Netherlands,11,University of Groningen,598,81,81,master_account,48.9,76,53.3,16,62.1,42,40.6,81,38.9,77,33.7,93,"Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-groningen
University of Zurich,,Switzerland,0,University of Zurich,525,82,82,master_account,65.7,30,-,100,83.8,5,40.5,82,26.5,101,36.1,83,"Languages, Literature & Linguistics,Archaeology,History, Philosophy & Theology",/world-university-rankings/university-zurich
Stockholm University,,Sweden,0,Stockholm University,596,83,83,master_account,55.6,59,37.6,52,45.9,71,39.8,83,36.5,81,35.6,86,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/stockholm-university
University of Bologna,,Italy,0,University of Bologna,692,84,84,master_account,42.0,96,37.9,47,40.1,81,39.7,84,38.5,78,40.0,73,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Architecture,Archaeology",/world-university-rankings/university-bologna
University of Washington,,United States,0,University of Washington,489,85,85,public,53.9,64,-,99,52.8,60,39.3,86,34.7,84,35.7,85,"History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics,Architecture,Art, Performing Arts & Design",/world-university-rankings/university-washington
"University of Maryland, College Park",,United States,0,"University of Maryland, College Park",559,85,85,public,61.1,44,37.6,53,32.3,96,39.3,85,34.2,87,37.2,77,"Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Architecture",/world-university-rankings/university-maryland-college-park
University of Sheffield united kingdom UK Sheffield,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-51616042,United Kingdom,11,University of Sheffield,565,87,87,master_account,43.6,91,37.3,59,60.6,47,39.0,88,34.8,83,37.0,79,"Art, Performing Arts & Design,Architecture,Languages, Literature & Linguistics,History, Philosophy & Theology,Archaeology",/world-university-rankings/university-sheffield
Vrije Universiteit Amsterdam,,Netherlands,0,Vrije Universiteit Amsterdam,625,87,87,master_account,61.9,43,67.1,8,49.2,68,39.0,89,31.1,94,33.8,92,"Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design",/world-university-rankings/vrije-universiteit-amsterdam
Complutense University of Madrid,,Spain,0,Complutense University of Madrid,971,87,87,master_account,23.4,101,-,78,31.5,98,39.0,87,43.1,64,43.3,68,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/complutense-university-madrid
Autonomous University of Barcelona uab,,Spain,6,Autonomous University of Barcelona,666,90,90,master_account,52.6,67,46.1,22,50.6,63,38.8,90,34.3,86,34.9,89,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology",/world-university-rankings/autonomous-university-barcelona
