aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,1,1,private,99.0,3,99.7,10,78.4,21,93.6,1,90.1,5,95.1,2,"Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,2,2,private,99.3,2,-,90,78.2,23,92.9,2,95.1,1,91.5,5,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/stanford-university
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,3,3,private,98.0,7,-,82,72.9,31,89.9,3,82.6,16,94.7,3,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/california-institute-technology
Princeton University,,United States,0,Princeton University,469,4,4,private,98.4,6,99.2,14,56.7,63,89.3,4,88.4,9,88.2,9,"General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/princeton-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,5,5,master_account,84.5,24,83.4,27,84.1,14,89.2,5,91.0,3,94.0,4,"General Engineering,Chemical Engineering",/world-university-rankings/university-cambridge
Imperial College London,,United Kingdom,0,Imperial College London,472,6,6,master_account,86.0,21,82.8,29,90.5,8,88.3,6,87.9,11,91.3,6,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/imperial-college-london
University of Oxford,,United Kingdom,0,University of Oxford,468,7,7,master_account,84.5,25,58.1,50,86.4,12,87.9,7,89.1,8,95.2,1,"Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-oxford
ETH Zurich,,Switzerland,0,ETH Zurich,479,8,8,master_account,78.7,42,76.2,34,89.8,10,87.1,8,92.7,2,90.4,7,"Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/eth-zurich
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,9,9,public,97.8,9,-,92,66.3,45,86.3,9,88.1,10,82.8,14,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/university-california-los-angeles
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,10,10,public,97.3,10,-,91,68.4,40,86.0,10,80.3,20,88.8,8,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-california-berkeley
Georgia Institute of Technology,,United States,0,Georgia Institute of Technology,488,11,11,public,82.6,30,79.9,31,67.0,44,83.9,11,89.6,6,84.4,11,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/georgia-institute-technology
École Polytechnique Fédérale de Lausanne,,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,12,12,master_account,90.0,17,53.1,54,96.6,2,82.9,12,81.2,19,79.6,19,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
National University of Singapore nus,,Singapore,6,National University of Singapore,504,13,13,master_account,77.3,45,63.6,46,92.1,5,81.7,13,83.9,15,84.0,13,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/national-university-singapore
