aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,United Kingdom,0,University of Oxford,468,1,1,master_account,98.4,3,99.9,3,83.2,11,93.7,1,98.0,3,85.3,4,46 : 54,"19,919",34%,11.6,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
Harvard University,United States,0,Harvard University,466,2,2,private,98.1,6,53.2,44,77.3,21,91.5,2,98.6,2,83.3,14,,"20,152",25%,8.9,"Other Health,Medicine & Dentistry",/world-university-rankings/harvard-university
University of Cambridge,United Kingdom,0,University of Cambridge,470,3,3,master_account,98.3,5,49.5,49,81.9,13,90.9,3,99.8,1,78.6,25,46 : 54,"18,812",34%,11.8,Medicine & Dentistry,/world-university-rankings/university-cambridge
UCL ucl UCL,United Kingdom,0,UCL,481,4,4,master_account,94.3,23,47.9,52,88.7,4,90.4,4,97.4,4,82.5,16,56 : 44,"26,607",46%,10.7,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,=5,5,public,98.4,2,75.7,20,72.0,30,89.4,6,91.7,8,81.5,18,50 : 50,"36,186",15%,16.4,Other Health,/world-university-rankings/university-california-berkeley
Imperial College London,United Kingdom,0,Imperial College London,472,=5,6,master_account,96.4,11,52.7,45,89.3,3,89.4,5,89.6,12,83.4,12,37 : 63,"15,060",51%,11.7,"Medicine & Dentistry,Other Health",/world-university-rankings/imperial-college-london
Stanford University,United States,11,Stanford University,467,7,7,private,97.7,7,55.0,37,53.7,64,88.3,7,90.8,9,85.8,3,42 : 58,"15,596",22%,7.8,"Medicine & Dentistry,Other Health",/world-university-rankings/stanford-university
King’s College London,United Kingdom,11,King’s College London,520,8,8,master_account,96.3,12,42.1,73,87.0,6,88.1,8,90.0,10,80.1,21,61 : 39,"21,394",37%,11.4,"Other Health,Medicine & Dentistry",/world-university-rankings/kings-college-london
Johns Hopkins University,United States,0,Johns Hopkins University,478,9,9,private,96.2,13,68.8,24,64.9,50,87.9,9,88.9,15,84.2,8,50 : 50,"15,128",23%,3.6,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
Columbia University,United States,0,Columbia University,476,10,10,private,93.7,26,35.4,99,73.7,27,86.6,10,88.0,18,83.9,10,,"25,055",28%,5.9,"Other Health,Medicine & Dentistry",/world-university-rankings/columbia-university
University of Toronto,Canada,0,University of Toronto,483,11,11,master_account,82.5,75,68.3,26,69.2,36,86.5,11,97.2,5,87.1,1,,"66,198",15%,19.5,"Other Health,Medicine & Dentistry",/world-university-rankings/university-toronto
University of Edinburgh,United Kingdom,0,University of Edinburgh,500,12,12,master_account,96.6,10,42.5,71,74.3,24,86.3,12,87.4,19,79.3,22,58 : 42,"25,774",36%,14.1,"Medicine & Dentistry,Other Health",/world-university-rankings/university-edinburgh
