aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Stanford University,United States,11,Stanford University,467,1,1,private,100.0,2,91.2,23,75.7,31,95.7,1,98.2,1,95.2,2,42 : 58,"15,596",22%,7.8,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/stanford-university
California Institute of Technology caltech,United States,0,California Institute of Technology,128779,2,2,private,99.9,3,99.8,8,54.8,63,95.3,2,97.4,3,98.3,1,33 : 67,"2,243",26%,6.9,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/california-institute-technology
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,3,3,private,99.4,6,98.0,17,78.5,28,94.1,3,91.8,16,94.9,3,37 : 63,"11,074",33%,9.0,"Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
University of Cambridge,United Kingdom,0,University of Cambridge,470,4,4,master_account,95.2,23,81.8,34,86.8,16,93.7,4,96.0,6,93.9,4,46 : 54,"18,812",34%,11.8,"General Engineering,Chemical Engineering",/world-university-rankings/university-cambridge
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,5,5,public,99.9,4,77.2,36,69.1,42,93.3,5,97.8,2,91.6,8,50 : 50,"36,186",15%,16.4,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-california-berkeley
University of Oxford,United Kingdom,0,University of Oxford,468,6,6,master_account,96.9,18,58.6,58,87.7,14,92.6,6,94.8,10,93.3,6,46 : 54,"19,919",34%,11.6,"Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-oxford
Princeton University,United States,0,Princeton University,469,7,7,private,99.4,7,45.6,76,72.0,37,91.6,7,95.2,8,93.4,5,45 : 55,"7,929",27%,8.4,"General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/princeton-university
ETH Zurich,Switzerland,0,ETH Zurich,479,8,8,master_account,89.3,34,65.2,51,93.9,5,90.2,8,96.1,4,88.3,13,31 : 69,"18,178",37%,14.7,"Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/eth-zurich
Imperial College London,United Kingdom,0,Imperial College London,472,9,9,master_account,91.6,28,79.0,35,94.2,4,90.1,9,87.5,22,92.2,7,37 : 63,"15,060",51%,11.7,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/imperial-college-london
Carnegie Mellon University,United States,0,Carnegie Mellon University,485,10,10,private,98.8,10,73.9,41,54.7,64,89.9,10,95.0,9,88.2,14,39 : 61,"11,885",35%,13.1,"General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/carnegie-mellon-university
Harvard University,United States,0,Harvard University,466,11,11,private,99.5,5,57.1,60,72.6,35,89.3,11,90.6,17,88.4,11,,"20,152",25%,8.9,"Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/harvard-university
Georgia Institute of Technology,United States,0,Georgia Institute of Technology,488,12,12,public,92.2,27,73.4,42,63.6,51,88.7,12,96.1,5,86.8,15,31 : 69,"19,967",26%,20.1,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/georgia-institute-technology
National University of Singapore nus,Singapore,6,National University of Singapore,504,13,13,master_account,87.7,37,53.4,64,92.4,7,88.5,13,94.2,13,88.5,10,49 : 51,"31,592",34%,15.5,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/national-university-singapore
École Polytechnique Fédérale de Lausanne,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,14,14,master_account,96.0,20,52.1,66,97.6,1,88.3,14,87.1,23,86.1,18,27 : 73,"9,666",54%,10.5,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
University of Illinois at Urbana-Champaign,United States,0,University of Illinois at Urbana-Champaign,495,15,15,public,95.5,21,71.0,45,52.0,67,87.9,15,94.3,12,86.4,17,47 : 53,"42,727",20%,18.7,"Chemical Engineering,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-illinois-urbana-champaign
The Hong Kong University of Science and Technology hkust,Hong Kong,11,The Hong Kong University of Science and Technology,526,16,16,master_account,95.3,22,68.2,48,78.5,27,86.9,16,88.6,20,82.6,24,,"11,385",36%,23.8,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/hong-kong-university-science-and-technology
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,17,17,public,91.1,30,64.4,53,61.3,55,86.1,17,92.9,15,84.4,22,48 : 52,"41,786",16%,9.0,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-michigan-ann-arbor
Northwestern University,United States,0,Northwestern University,490,18,18,private,98.3,14,52.9,65,62.2,52,85.0,18,84.2,26,84.7,21,48 : 52,"18,334",15%,13.8,"Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/northwestern-university
Delft University of Technology,Netherlands,0,Delft University of Technology,568,19,19,master_account,74.0,67,94.8,20,74.2,33,84.7,19,95.4,7,84.7,20,26 : 74,"15,920",25%,19.4,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/delft-university-technology
