aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Harvard University,United States,0,Harvard University,466,1,10,private,99.3,6,100.0,3,82.2,63,96.7,10,100.0,1,93.5,1,,"19,890",25%,8.8,Biological Sciences,/world-university-rankings/harvard-university
University of Cambridge,United Kingdom,0,University of Cambridge,470,2,20,master_account,96.6,21,36.5,303,90.4,27,94.2,20,98.6,3,92.9,2,45 : 55,"18,605",35%,11.3,"Biological Sciences,Veterinary Science",/world-university-rankings/university-cambridge
University of Oxford,United Kingdom,0,University of Oxford,468,3,30,master_account,95.4,28,52.8,139,88.8,35,94.0,30,99.4,2,91.6,4,46 : 54,"19,718",35%,10.9,Biological Sciences,/world-university-rankings/university-oxford
Stanford University,United States,11,Stanford University,467,4,40,private,99.8,4,77.7,59,63.7,166,92.7,40,93.7,6,91.8,3,42 : 58,"15,658",22%,7.7,Biological Sciences,/world-university-rankings/stanford-university
Massachusetts Institute of Technology,United States,0,Massachusetts Institute of Technology,471,5,50,private,100.0,1,66.3,85,73.6,104,90.9,50,89.5,12,87.3,7,37 : 63,"11,192",33%,8.8,"Veterinary Science,Biological Sciences",/world-university-rankings/massachusetts-institute-technology
California Institute of Technology caltech,United States,0,California Institute of Technology,128779,6,60,private,99.9,2,77.0,60,49.4,256,90.8,60,90.9,10,91.2,5,31 : 69,"2,181",27%,6.7,Biological Sciences,/world-university-rankings/california-institute-technology
Yale University,United States,0,Yale University,475,7,70,private,94.8,30,79.5,55,70.6,119,90.5,70,93.0,7,88.7,6,49 : 51,"11,946",21%,4.4,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/yale-university
Princeton University,United States,0,Princeton University,469,8,80,private,99.7,5,68.7,78,63.8,165,89.7,80,89.0,14,86.4,9,45 : 55,"7,925",23%,8.4,Biological Sciences,/world-university-rankings/princeton-university
Imperial College London,United Kingdom,0,Imperial College London,472,9,90,master_account,90.1,54,39.9,251,97.4,9,88.1,90,94.0,4,81.4,12,37 : 63,"15,236",52%,11.3,Biological Sciences,/world-university-rankings/imperial-college-london
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,10,100,public,99.2,7,36.0,310,48.7,264,87.3,100,90.1,11,84.4,10,52 : 48,"34,834",16%,12.0,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-berkeley
