aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Duke University,,United States,0,Duke University,487,1,10,private,68.1,9,100.0,1,38.1,67,82.8,10,98.0,1,90.7,5,49 : 51,"15,256",22%,4.5,Law,/world-university-rankings/duke-university
Stanford University,,United States,11,Stanford University,467,2,20,private,71.5,6,58.6,14,36.6,69,80.6,20,89.4,5,93.1,2,42 : 58,"15,845",22%,7.5,Law,/world-university-rankings/stanford-university
Yale University,,United States,0,Yale University,475,3,30,private,73.9,5,50.1,22,33.8,72,79.2,30,85.4,13,92.0,3,49 : 51,"12,155",21%,4.3,Law,/world-university-rankings/yale-university
University of Chicago,,United States,11,University of Chicago,473,4,40,private,67.9,10,39.3,68,42.8,59,78.9,40,86.6,11,93.2,1,44 : 56,"13,525",25%,6.2,Law,/world-university-rankings/university-chicago
University of Cambridge,,United Kingdom,0,University of Cambridge,470,5,50,master_account,60.0,21,40.2,53,89.0,5,78.5,50,90.9,3,80.9,18,45 : 55,"18,389",35%,10.9,Law,/world-university-rankings/university-cambridge
University of Oxford,,United Kingdom,0,University of Oxford,468,6,60,master_account,56.9,34,42.1,42,85.8,8,76.9,60,89.6,4,80.5,19,46 : 54,"20,409",38%,11.2,Law,/world-university-rankings/university-oxford
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,7,70,master_account,64.0,16,48.5,26,67.5,25,76.8,70,82.9,19,85.5,15,55 : 45,"42,116",40%,26.6,Law,/world-university-rankings/university-melbourne
UCL ucl UCL,,United Kingdom,0,UCL,481,8,80,master_account,63.7,17,40.1,56,87.9,6,76.6,80,86.2,12,77.2,24,56 : 44,"30,304",49%,10.5,Law,/world-university-rankings/ucl
Harvard University,,United States,0,Harvard University,466,9,90,private,76.3,2,40.1,55,32.7,74,76.2,90,88.4,9,79.3,20,,"20,326",26%,8.9,Law,/world-university-rankings/harvard-university
University of Toronto,,Canada,0,University of Toronto,483,10,100,master_account,47.3,67,39.3,95,64.8,31,75.5,100,89.4,6,89.6,10,,"69,427",17%,18.7,Law,/world-university-rankings/university-toronto
