aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Stanford University,United States,11,Stanford University,467,1,10,private,88.0,7,70.0,13,48.7,50,87.9,10,98.7,1,89.2,3,42 : 58,"15,845",22%,7.5,Psychology,/world-university-rankings/stanford-university
UCL ucl UCL,United Kingdom,0,UCL,481,2,20,master_account,72.1,46,39.5,69,88.5,8,83.0,20,88.1,14,94.3,1,56 : 44,"30,304",49%,10.5,Psychology,/world-university-rankings/ucl
Princeton University,United States,0,Princeton University,469,3,30,private,89.2,2,55.5,25,53.5,48,82.8,30,81.9,20,85.9,6,45 : 55,"7,955",24%,8.3,Psychology,/world-university-rankings/princeton-university
Yale University,United States,0,Yale University,475,4,40,private,79.3,17,38.0,83,38.7,60,82.7,40,97.5,3,83.7,7,49 : 51,"12,155",21%,4.3,Psychology,/world-university-rankings/yale-university
Harvard University,United States,0,Harvard University,466,4,50,private,78.7,19,39.3,72,44.0,55,82.6,50,96.2,5,88.5,4,,"20,326",26%,8.9,Psychology,/world-university-rankings/harvard-university
Duke University,United States,0,Duke University,487,5,60,private,82.1,14,57.8,20,36.7,66,81.3,60,86.4,15,89.5,2,49 : 51,"15,256",22%,4.5,,/world-university-rankings/duke-university
Northwestern University,United States,0,Northwestern University,490,6,70,private,82.6,12,72.9,11,25.0,92,79.9,70,96.4,4,75.7,12,48 : 52,"17,466",18%,12.8,Psychology,/world-university-rankings/northwestern-university
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,7,80,public,79.6,16,38.8,75,36.0,69,79.5,80,91.6,6,82.9,8,48 : 52,"41,818",16%,8.6,Psychology,/world-university-rankings/university-michigan-ann-arbor
"University of California, Los Angeles",United States,0,"University of California, Los Angeles",477,8,90,public,78.4,20,39.3,71,34.0,74,79.4,90,98.6,2,77.6,10,53 : 47,"39,279",17%,9.6,Psychology,/world-university-rankings/university-california-los-angeles
Carnegie Mellon University,United States,0,Carnegie Mellon University,485,9,100,private,89.1,3,37.9,86,40.7,58,77.5,100,84.7,17,69.1,24,39 : 61,"12,676",45%,13.5,Psychology,/world-university-rankings/carnegie-mellon-university
University of British Columbia ubc,Canada,11,University of British Columbia,486,10,110,master_account,73.8,38,37.8,88,88.2,10,75.6,110,90.4,8,63.1,32,54 : 46,"51,889",29%,18.1,Psychology,/world-university-rankings/university-british-columbia
"University of California, San Diego",United States,0,"University of California, San Diego",497,11,120,public,74.1,36,90.8,6,36.2,68,75.5,120,89.6,10,72.7,14,46 : 54,"29,633",17%,12.8,Psychology,/world-university-rankings/university-california-san-diego
