aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,,United Kingdom,0,University of Oxford,468,1,10,master_account,92.7,17,93.0,13,88.5,35,91.4,10,98.7,3,82.9,12,46 : 54,"20,298",40%,11.0,"Other Health,Medicine & Dentistry",/world-university-rankings/university-oxford
Harvard University,,United States,0,Harvard University,466,2,20,private,87.4,37,47.1,194,76.5,88,89.3,20,98.7,2,89.5,1,48 : 52,"20,595",26%,9.1,"Other Health,Medicine & Dentistry",/world-university-rankings/harvard-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,3,30,master_account,88.5,30,46.5,208,86.6,41,87.4,30,99.1,1,78.3,24,46 : 54,"18,749",37%,10.9,Medicine & Dentistry,/world-university-rankings/university-cambridge
Imperial College London,,United Kingdom,0,Imperial College London,472,4,40,master_account,87.8,35,52.3,117,92.8,19,86.3,40,90.5,7,81.6,17,38 : 62,"16,425",56%,11.7,"Medicine & Dentistry,Other Health",/world-university-rankings/imperial-college-london
Stanford University,,United States,11,Stanford University,467,5,50,private,92.1,19,49.8,148,58.4,211,86.1,50,89.3,10,86.0,3,43 : 57,"15,878",23%,7.4,"Medicine & Dentistry,Other Health",/world-university-rankings/stanford-university
Johns Hopkins University,,United States,0,Johns Hopkins University,478,6,60,private,85.2,51,63.9,53,67.5,157,84.5,60,89.8,8,84.8,7,52 : 48,"16,146",25%,4.6,"Other Health,Medicine & Dentistry",/world-university-rankings/johns-hopkins-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,7,70,public,89.2,26,56.1,82,58.0,216,83.9,70,90.5,6,80.2,20,51 : 49,"36,468",17%,13.2,Other Health,/world-university-rankings/university-california-berkeley
UCL ucl UCL,,United Kingdom,0,UCL,481,8,80,master_account,80.9,81,47.9,177,93.3,14,83.3,80,89.5,9,80.7,19,57 : 43,"31,696",51%,10.6,"Other Health,Medicine & Dentistry",/world-university-rankings/ucl
Columbia University,,United States,0,Columbia University,476,=9,90,private,85.6,47,43.5,334,65.4,171,82.4,90,84.4,21,84.3,8,,"26,586",37%,6.0,"Other Health,Medicine & Dentistry",/world-university-rankings/columbia-university
University of Melbourne UniMelb Australia,,Australia,11,University of Melbourne,501,=9,100,master_account,76.7,103,77.3,27,91.3,24,82.4,100,88.1,13,82.0,14,56 : 44,"45,030",42%,26.6,"Medicine & Dentistry,Other Health",/world-university-rankings/university-melbourne
