aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Oxford,,United Kingdom,0,University of Oxford,468,1,10,master_account,98.8,18,72.5,102,92.9,43,95.6,10,97.9,3,95.1,2,46 : 54,"20,298",40%,11.0,"Civil Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-oxford
Stanford University,,United States,11,Stanford University,467,2,20,private,99.8,7,94.4,46,84.3,96,95.4,20,95.9,7,93.7,6,43 : 57,"15,878",23%,7.4,"Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/stanford-university
Harvard University,,United States,0,Harvard University,466,3,30,private,99.7,9,58.4,176,88.1,75,95.3,30,99.8,1,94.9,3,48 : 52,"20,595",26%,9.1,"Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/harvard-university
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,4,40,private,97.0,32,90.7,54,51.2,341,94.6,40,99.3,2,99.1,1,33 : 67,"2,255",29%,6.5,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/california-institute-technology
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,5,50,private,99.0,15,94.5,45,85.9,84,94.5,50,92.1,13,94.9,4,38 : 62,"11,231",34%,8.7,"Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/massachusetts-institute-technology
University of Cambridge,,United Kingdom,0,University of Cambridge,470,6,60,master_account,93.7,52,71.7,108,92.5,47,93.9,60,97.6,4,94.3,5,46 : 54,"18,749",37%,10.9,"General Engineering,Chemical Engineering",/world-university-rankings/university-cambridge
Princeton University,,United States,0,Princeton University,469,7,70,private,98.4,20,55.0,200,81.0,118,91.4,70,93.4,11,91.6,7,45 : 55,"7,996",24%,8.2,"General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/princeton-university
National University of Singapore nus,,Singapore,6,National University of Singapore,504,8,80,master_account,90.0,73,83.9,73,94.3,32,89.3,80,90.5,16,87.0,13,50 : 50,"30,727",28%,17.4,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/national-university-singapore
ETH Zurich,,Switzerland,0,ETH Zurich,479,9,90,master_account,93.0,55,45.0,304,95.1,27,88.8,90,93.6,9,85.7,14,31 : 69,"18,171",39%,12.3,"Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/eth-zurich
Georgia Institute of Technology,,United States,0,Georgia Institute of Technology,488,10,100,public,96.2,37,64.5,145,72.0,170,88.6,100,96.1,6,82.2,18,32 : 68,"21,903",27%,21.5,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/georgia-institute-technology
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,11,110,public,99.6,10,54.9,201,58.7,276,88.4,110,91.4,14,88.0,11,51 : 49,"36,468",17%,13.2,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-california-berkeley
Imperial College London,,United Kingdom,0,Imperial College London,472,12,120,master_account,87.6,86,70.4,114,95.5,25,88.3,120,88.0,20,90.6,10,38 : 62,"16,425",56%,11.7,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/imperial-college-london
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,13,130,public,98.5,19,51.0,227,78.9,128,88.1,130,92.2,12,83.1,17,53 : 47,"39,464",17%,9.2,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/university-california-los-angeles
Peking University,,China,0,Peking University,514,14,140,master_account,97.1,30,47.2,270,44.8,416,87.7,140,93.5,10,90.9,9,48 : 52,"42,547",17%,8.9,"General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/peking-university
"Nanyang Technological University, Singapore NTU Nan yang",,Singapore,6,"Nanyang Technological University, Singapore",634,15,150,master_account,94.7,45,96.9,38,96.0,21,86.6,150,81.2,33,80.6,21,48 : 52,"25,738",28%,16.7,"Chemical Engineering,General Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/nanyang-technological-university-singapore
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,16,160,public,92.4,59,53.7,212,71.0,179,85.5,160,89.8,18,83.6,16,48 : 52,"41,831",17%,8.3,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-michigan-ann-arbor
Carnegie Mellon University,,United States,0,Carnegie Mellon University,485,17,170,private,99.1,13,48.6,254,76.4,143,85.3,170,87.1,23,79.3,24,40 : 60,"13,033",47%,13.3,"General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/carnegie-mellon-university
École Polytechnique Fédérale de Lausanne,,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,18,180,master_account,94.5,46,61.4,164,97.8,9,85.2,180,85.2,25,77.6,28,28 : 72,"10,343",57%,11.4,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
Delft University of Technology,,Netherlands,0,Delft University of Technology,568,19,190,master_account,76.7,165,92.6,50,85.4,88,84.2,190,94.2,8,79.4,23,28 : 72,"17,880",29%,20.0,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/delft-university-technology
