aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Harvard University,,United States,0,Harvard University,466,1,10,private,99.6,8,88.1,52,80.3,96,95.7,10,98.9,2,92.3,4,48 : 52,"20,595",26%,9.1,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/harvard-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,2,20,master_account,98.2,16,40.8,310,92.4,27,95.0,20,98.7,3,92.8,2,46 : 54,"18,749",37%,10.9,"Veterinary Science,Biological Sciences",/world-university-rankings/university-cambridge
University of Oxford,,United Kingdom,0,University of Oxford,468,3,30,master_account,97.1,22,55.2,153,91.2,35,94.8,30,99.4,1,91.8,5,46 : 54,"20,298",40%,11.0,Biological Sciences,/world-university-rankings/university-oxford
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,4,40,private,100.0,1,51.6,174,79.9,100,93.6,40,90.4,14,96.2,1,38 : 62,"11,231",34%,8.7,"Veterinary Science,Biological Sciences",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,5,50,private,99.9,6,77.1,66,65.9,187,93.1,50,93.9,8,92.7,3,43 : 57,"15,878",23%,7.4,"Sport Science,Veterinary Science,Biological Sciences",/world-university-rankings/stanford-university
Johns Hopkins University,,United States,0,Johns Hopkins University,478,=6,60,private,94.2,42,90.9,41,72.1,141,92.0,60,97.5,5,89.2,9,52 : 48,"16,146",25%,4.6,Biological Sciences,/world-university-rankings/johns-hopkins-university
Yale University,,United States,0,Yale University,475,=6,70,private,93.6,53,97.9,25,63.1,205,92.0,70,98.6,4,90.8,8,50 : 50,"12,318",20%,5.2,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/yale-university
California Institute of Technology caltech,,United States,0,California Institute of Technology,128779,8,80,private,99.9,3,89.0,46,54.8,258,91.6,80,91.6,12,91.2,6,33 : 67,"2,255",29%,6.5,Biological Sciences,/world-university-rankings/california-institute-technology
Princeton University,,United States,0,Princeton University,469,9,90,private,99.9,5,82.5,59,70.8,154,90.9,90,89.4,15,87.2,11,45 : 55,"7,996",24%,8.2,Biological Sciences,/world-university-rankings/princeton-university
Tsinghua University Qinghua University Tsing hua University Qing hua University,,China,6,Tsinghua University,535,10,100,master_account,95.8,32,70.3,88,45.2,346,88.7,100,94.1,7,87.9,10,34 : 66,"36,912",11%,11.9,"Biological Sciences,Sport Science",/world-university-rankings/tsinghua-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,11,110,public,99.6,7,45.4,240,63.7,198,88.5,110,88.8,17,84.8,14,51 : 49,"36,468",17%,13.2,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-berkeley
UCL ucl UCL,,United Kingdom,0,UCL,481,12,120,master_account,91.9,69,34.7,485,95.7,17,88.3,120,92.5,10,82.4,19,57 : 43,"31,696",51%,10.6,Biological Sciences,/world-university-rankings/ucl
"University of California, San Diego",,United States,0,"University of California, San Diego",497,13,130,public,95.7,34,100.0,1,48.2,319,88.2,130,96.2,6,80.5,20,46 : 54,"31,687",20%,12.9,Biological Sciences,/world-university-rankings/university-california-san-diego
ETH Zurich,,Switzerland,0,ETH Zurich,479,=14,140,master_account,93.0,60,49.1,193,97.9,8,87.6,140,86.1,23,82.9,18,31 : 69,"18,171",39%,12.3,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/eth-zurich
Imperial College London,,United Kingdom,0,Imperial College London,472,=14,150,master_account,92.9,61,34.9,474,97.6,10,87.6,150,90.9,13,79.6,22,38 : 62,"16,425",56%,11.7,Biological Sciences,/world-university-rankings/imperial-college-london
University of Chicago,,United States,11,University of Chicago,473,16,160,private,98.8,11,38.8,343,66.5,182,86.3,160,87.7,20,78.8,24,44 : 56,"13,562",25%,6.1,Biological Sciences,/world-university-rankings/university-chicago
Cornell University,,United States,0,Cornell University,484,17,170,private,95.0,37,35.0,465,64.3,193,86.2,170,88.6,18,83.0,17,49 : 51,"21,904",25%,9.8,"Biological Sciences,Agriculture & Forestry,Veterinary Science",/world-university-rankings/cornell-university
Columbia University,,United States,0,Columbia University,476,18,180,private,98.8,12,41.7,299,75.4,127,85.9,180,77.4,31,84.9,13,,"26,586",37%,6.0,"Sport Science,Biological Sciences",/world-university-rankings/columbia-university
Peking University,,China,0,Peking University,514,19,190,master_account,86.1,112,76.8,68,44.3,355,85.6,190,91.9,11,90.9,7,48 : 52,"42,547",17%,8.9,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/peking-university
Duke University,,United States,0,Duke University,487,20,200,private,93.0,59,96.3,30,63.6,199,85.2,200,81.8,27,83.5,15,48 : 52,"15,037",18%,4.4,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/duke-university
University of Pennsylvania,,United States,0,University of Pennsylvania,480,21,210,private,96.0,31,54.9,155,55.5,252,85.0,210,86.4,22,80.3,21,52 : 48,"20,443",20%,6.4,"Biological Sciences,Veterinary Science",/world-university-rankings/university-pennsylvania
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,22,220,public,94.7,38,43.0,278,52.9,279,84.8,220,92.8,9,76.7,26,53 : 47,"39,464",17%,9.2,"Agriculture & Forestry,Veterinary Science,Sport Science,Biological Sciences",/world-university-rankings/university-california-los-angeles
Wageningen University & Research,,Netherlands,0,Wageningen University & Research,540,23,230,master_account,90.3,78,100.0,13,81.2,91,84.3,230,83.6,26,76.7,27,55 : 45,"13,214",29%,20.9,"Biological Sciences,Agriculture & Forestry,Veterinary Science",/world-university-rankings/wageningen-university-research
