aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Stanford University,,United States,11,Stanford University,467,1,10,private,80.9,6,72.4,54,66.5,125,89.9,10,92.5,4,96.7,1,43 : 57,"16,135",23%,7.3,"Archaeology,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture",/world-university-rankings/stanford-university
University of Cambridge,,United Kingdom,0,University of Cambridge,470,2,20,master_account,62.8,144,58.8,73,75.2,72,86.7,20,96.3,1,90.7,6,47 : 53,"18,978",37%,10.9,"Languages, Literature & Linguistics,History, Philosophy & Theology,Archaeology,Architecture,Art, Performing Arts & Design",/world-university-rankings/university-cambridge
University of Oxford,,United Kingdom,0,University of Oxford,468,3,30,master_account,68.1,85,35.2,376,75.8,69,86.4,30,95.5,2,90.1,7,46 : 54,"20,664",41%,11.2,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/university-oxford
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,4,40,private,76.3,18,56.5,81,86.3,29,85.8,40,88.8,8,88.4,8,39 : 61,"11,247",34%,8.6,"Languages, Literature & Linguistics,Architecture,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology",/world-university-rankings/massachusetts-institute-technology
Harvard University,,United States,0,Harvard University,466,5,50,private,68.3,84,36.0,312,59.1,179,84.3,50,92.5,3,90.8,5,49 : 51,"20,823",24%,9.2,"Art, Performing Arts & Design,Archaeology,Architecture,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/harvard-university
UCL ucl UCL,,United Kingdom,0,UCL,481,6,60,master_account,73.2,34,39.5,207,94.2,10,84.0,60,90.0,6,83.1,11,57 : 43,"32,665",52%,10.6,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture",/world-university-rankings/ucl
Princeton University,,United States,0,Princeton University,469,7,70,private,59.8,190,52.8,98,53.2,226,83.1,70,90.9,5,92.6,3,45 : 55,"7,983",25%,8.1,"Languages, Literature & Linguistics,History, Philosophy & Theology,Archaeology,Art, Performing Arts & Design,Architecture",/world-university-rankings/princeton-university
University of Chicago,,United States,11,University of Chicago,473,8,80,private,59.3,197,34.7,465,56.1,206,82.0,80,88.6,10,92.9,2,46 : 54,"13,833",28%,5.7,"History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design",/world-university-rankings/university-chicago
Yale University,,United States,0,Yale University,475,9,90,private,65.5,117,38.0,240,42.3,295,81.8,90,88.7,9,92.2,4,50 : 50,"12,402",20%,5.4,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Archaeology",/world-university-rankings/yale-university
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,10,100,public,69.8,71,35.1,381,43.5,286,80.8,100,89.5,7,87.1,10,50 : 50,"41,081",17%,13.7,"Archaeology,Art, Performing Arts & Design,Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-california-berkeley
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,11,110,master_account,66.5,103,35.0,396,80.9,46,78.8,110,84.7,14,80.4,14,60 : 40,"29,433",41%,12.8,"Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology,Architecture,History, Philosophy & Theology",/world-university-rankings/university-edinburgh
Columbia University,,United States,0,Columbia University,476,12,120,private,59.9,184,42.1,169,64.5,142,78.7,120,82.9,17,87.4,9,,"26,586",37%,5.8,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Archaeology",/world-university-rankings/columbia-university
University of Pennsylvania,,United States,0,University of Pennsylvania,480,13,130,private,75.0,26,39.2,211,68.6,108,78.4,130,79.8,21,82.9,12,52 : 48,"20,578",21%,6.5,"Archaeology,Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-pennsylvania
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,14,140,public,70.7,61,35.1,382,43.0,291,78.1,140,86.8,11,82.4,13,54 : 46,"41,066",17%,9.4,"Architecture,Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-california-los-angeles
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,15,150,public,81.6,4,36.8,276,43.1,289,76.0,150,80.3,20,78.8,15,49 : 51,"42,982",17%,8.3,"Languages, Literature & Linguistics,Architecture,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology",/world-university-rankings/university-michigan-ann-arbor
LMU Munich Ludwig-Maximilians-Universität München,,Germany,6,LMU Munich,509,16,160,master_account,55.3,255,97.3,24,63.3,150,75.0,160,84.8,13,73.9,20,61 : 39,"34,519",17%,34.7,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/lmu-munich
New York University,,United States,0,New York University,508,17,170,private,64.6,126,37.5,252,48.7,249,74.3,170,83.7,15,76.2,17,57 : 43,"44,466",33%,8.9,"Archaeology,History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Architecture",/world-university-rankings/new-york-university
University of Toronto,,Canada,0,University of Toronto,483,18,180,master_account,58.1,217,34.7,522,58.3,189,74.2,180,84.9,12,75.7,19,59 : 41,"73,370",21%,20.1,"Architecture,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology",/world-university-rankings/university-toronto
Humboldt University of Berlin,,Germany,0,Humboldt University of Berlin,573,=19,190,master_account,45.8,383,45.3,141,51.2,238,72.5,190,83.6,16,78.2,16,,"33,463",17%,56.1,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/humboldt-university-berlin
Paris Sciences et Lettres – PSL Research University Paris,,France,0,Paris Sciences et Lettres – PSL Research University Paris,615804,=19,200,master_account,51.2,313,36.3,303,64.7,141,72.5,200,81.5,18,76.1,18,46 : 54,"21,298",26%,11.5,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris
Leiden University,,Netherlands,6,Leiden University,543,21,210,master_account,52.8,293,52.7,100,79.8,52,71.7,210,79.5,22,71.2,24,59 : 41,"28,741",16%,18.7,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture,History, Philosophy & Theology,Archaeology",/world-university-rankings/leiden-university
KU Leuven,,Belgium,11,KU Leuven,531,22,220,master_account,54.1,275,99.7,15,65.5,133,71.2,220,80.3,19,68.1,31,50 : 50,"45,049",15%,36.3,"Architecture,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/ku-leuven
Peking University,,China,0,Peking University,514,23,230,master_account,64.4,128,80.3,42,98.9,2,70.8,230,64.4,37,73.6,21,46 : 54,"39,575",15%,11.5,"Archaeology,History, Philosophy & Theology,Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/peking-university
King’s College London,,United Kingdom,11,King’s College London,520,24,240,master_account,58.8,203,34.7,487,73.2,84,70.3,240,74.1,24,73.0,22,62 : 38,"26,057",44%,12.5,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology",/world-university-rankings/kings-college-london
Free University of Berlin,,Germany,0,Free University of Berlin,617,25,250,master_account,50.0,332,39.0,215,59.5,176,68.5,250,76.3,23,71.9,23,59 : 41,"35,894",21%,58.2,"Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics",/world-university-rankings/free-university-berlin
Cornell University,,United States,0,Cornell University,484,26,260,private,71.8,48,34.8,428,52.8,229,68.0,260,69.9,26,69.8,27,49 : 51,"22,319",25%,9.8,"History, Philosophy & Theology,Architecture,Archaeology,Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/cornell-university
Durham University united kingdom UK  England,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-56154151,United Kingdom,11,Durham University,547,27,270,master_account,68.4,82,44.6,149,68.7,107,67.9,270,66.3,31,70.6,25,55 : 45,"16,963",30%,14.8,"Languages, Literature & Linguistics,Archaeology,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/durham-university
London School of Economics and Political Science,,United Kingdom,0,London School of Economics and Political Science,511,28,280,master_account,75.8,20,34.7,491,86.8,25,67.7,280,64.5,36,65.9,34,53 : 47,"10,570",71%,12.1,"History, Philosophy & Theology",/world-university-rankings/london-school-economics-and-political-science
Duke University,,United States,0,Duke University,487,29,290,private,73.9,31,100.0,3,39.1,320,67.2,290,65.1,35,70.1,26,49 : 51,"15,309",19%,4.3,"Art, Performing Arts & Design,Languages, Literature & Linguistics,Architecture,History, Philosophy & Theology,Archaeology",/world-university-rankings/duke-university
University of Vienna,,Austria,0,University of Vienna,603,30,300,master_account,53.7,280,35.6,335,84.5,36,66.1,300,67.4,29,68.2,30,66 : 34,"33,547",27%,40.2,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-vienna
University of Hong Kong HKU Hong Kong University,,Hong Kong,11,University of Hong Kong,498,31,310,master_account,66.2,108,37.5,251,97.1,5,65.8,310,62.4,40,64.6,36,54 : 46,"18,260",44%,18.2,"Art, Performing Arts & Design,History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics",/world-university-rankings/university-hong-kong
Heidelberg University,,Germany,0,Heidelberg University,537,32,320,master_account,53.1,290,38.8,219,65.8,132,64.7,320,66.3,32,69.3,29,54 : 46,"20,800",18%,16.1,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology",/world-university-rankings/heidelberg-university-0
Australian National University anu,,Australia,0,Australian National University,502,33,330,master_account,71.3,53,39.6,204,79.9,50,64.6,330,72.1,25,53.0,65,52 : 48,"17,359",44%,17.8,"History, Philosophy & Theology,Archaeology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/australian-national-university
University of Tübingen,,Germany,0,University of Tübingen,652,34,340,master_account,67.7,90,91.8,28,59.4,178,63.8,340,66.6,30,58.5,48,58 : 42,"27,901",14%,37.5,"History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics",/world-university-rankings/university-tubingen
National University of Singapore nus,,Singapore,6,National University of Singapore,504,35,350,master_account,54.6,265,69.5,56,88.0,22,63.5,350,67.7,27,57.5,50,51 : 49,"30,869",28%,17.9,"History, Philosophy & Theology,Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/national-university-singapore
Johns Hopkins University,,United States,0,Johns Hopkins University,478,36,360,private,71.4,52,56.8,80,58.4,187,63.4,360,63.1,39,61.9,41,52 : 48,"16,171",26%,4.5,"Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/johns-hopkins-university
University of Amsterdam uva,,Netherlands,6,University of Amsterdam,556,37,370,master_account,75.1,24,34.7,450,77.0,63,63.0,370,66.0,34,54.4,61,56 : 44,"26,723",18%,13.5,"Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-amsterdam
The University of Tokyo,,Japan,0,The University of Tokyo,494,38,380,master_account,41.6,429,78.2,48,41.6,299,62.9,380,67.7,28,69.8,28,,"25,913",12%,10.6,"Languages, Literature & Linguistics,Architecture,Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology",/world-university-rankings/university-tokyo
