aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Massachusetts Institute of Technology,,United States,0,Massachusetts Institute of Technology,471,1,10,private,99.5,4,94.0,45,73.5,133,91.9,10,91.3,5,91.6,2,39 : 61,"11,247",34%,8.6,"Accounting & Finance,Economics & Econometrics,Business & Management",/world-university-rankings/massachusetts-institute-technology
Stanford University,,United States,11,Stanford University,467,2,20,private,98.7,7,70.6,83,71.3,141,91.6,20,90.4,7,94.5,1,43 : 57,"16,135",23%,7.3,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/stanford-university
牛津大学,,United Kingdom,0,University of Oxford,468,3,30,master_account,85.9,76,94.3,43,90.6,32,91.2,30,96.1,2,90.4,4,46 : 54,"20,664",41%,11.2,Economics & Econometrics,/world-university-rankings/university-oxford
剑桥大学,,United Kingdom,0,University of Cambridge,470,4,40,master_account,87.0,67,33.9,341,94.0,13,88.8,40,91.1,6,90.7,3,47 : 53,"18,978",37%,10.9,Economics & Econometrics,/world-university-rankings/university-cambridge
加州大学伯克利分校,,United States,0,"University of California, Berkeley",474,5,50,public,97.9,11,30.5,552,46.9,276,88.1,50,97.0,1,87.6,10,50 : 50,"41,081",17%,13.7,"Economics & Econometrics,Business & Management",/world-university-rankings/university-california-berkeley
伦敦政治经济学院 ,,United Kingdom,0,London School of Economics and Political Science,511,6,60,master_account,89.4,48,31.6,445,95.0,9,87.6,60,91.6,4,84.4,14,53 : 47,"10,570",71%,12.1,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/london-school-economics-and-political-science
杜克大学,,United States,0,Duke University,487,7,70,private,96.0,18,100.0,4,60.5,191,87.0,70,87.0,13,86.3,12,49 : 51,"15,309",19%,4.3,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/duke-university
University of Chicago,,United States,11,University of Chicago,473,8,80,private,98.5,9,30.5,558,61.2,187,86.9,80,86.8,14,89.5,6,46 : 54,"13,833",28%,5.7,"Economics & Econometrics,Business & Management,Accounting & Finance",/world-university-rankings/university-chicago
University of Pennsylvania,,United States,0,University of Pennsylvania,480,9,90,private,94.7,22,42.2,211,50.7,247,86.2,90,90.2,8,88.8,8,52 : 48,"20,578",21%,6.5,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/university-pennsylvania
Harvard University,,United States,0,Harvard University,466,10,100,private,98.8,6,30.5,574,42.4,319,86.0,100,89.2,9,89.6,5,49 : 51,"20,823",24%,9.2,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/harvard-university
耶鲁大学,,United States,0,Yale University,475,11,110,private,97.1,13,30.5,632,57.1,217,85.8,110,86.5,15,88.8,9,50 : 50,"12,402",20%,5.4,"Business & Management,Economics & Econometrics",/world-university-rankings/yale-university
ETH Zurich,,Switzerland,0,ETH Zurich,479,=12,120,master_account,80.8,117,100.0,6,98.3,5,83.9,120,88.8,10,75.8,22,32 : 68,"18,956",39%,12.5,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/eth-zurich
西北大学,,United States,0,Northwestern University,490,=12,130,private,97.0,14,32.8,374,57.2,215,83.9,130,85.2,18,83.8,16,49 : 51,"17,951",20%,12.8,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/northwestern-university
National University of Singapore nus,,Singapore,6,National University of Singapore,504,14,140,master_account,74.5,169,55.1,133,77.2,115,83.2,140,92.8,3,84.1,15,51 : 49,"30,869",28%,17.9,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/national-university-singapore
哥伦比亚大学,,United States,0,Columbia University,476,15,150,private,89.3,49,40.3,231,66.5,159,83.0,150,80.3,22,89.2,7,,"26,586",37%,5.8,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/columbia-university
密歇根大学,,United States,0,University of Michigan-Ann Arbor,482,16,160,public,97.2,12,33.2,362,51.1,244,82.4,160,86.0,16,79.9,21,49 : 51,"42,982",17%,8.3,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/university-michigan-ann-arbor
纽约大学,,United States,0,New York University,508,17,170,private,92.5,32,37.4,262,60.3,195,81.9,170,83.4,19,81.7,18,57 : 43,"44,466",33%,8.9,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/new-york-university
加州大学洛杉矶分校,,United States,0,"University of California, Los Angeles",477,18,180,public,93.8,29,30.5,554,56.6,219,81.0,180,82.4,20,80.4,20,54 : 46,"41,066",17%,9.4,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/university-california-los-angeles
清华大学 Qinghua University Tsing hua University Qing hua University,,China,6,Tsinghua University,535,19,190,master_account,71.0,204,89.6,52,61.9,183,80.6,190,88.7,12,84.5,13,34 : 66,"38,783",11%,12.0,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/tsinghua-university
北京大学,,China,0,Peking University,514,20,200,master_account,74.7,168,100.0,8,64.9,164,79.0,200,76.8,24,87.3,11,46 : 54,"39,575",15%,11.5,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/peking-university
伦敦大学学院 ucl UCL,,United Kingdom,0,UCL,481,21,210,master_account,79.2,127,30.5,622,92.1,23,78.1,210,86.0,17,68.8,24,57 : 43,"32,665",52%,10.6,"Economics & Econometrics,Business & Management",/world-university-rankings/ucl
康奈尔大学,,United States,0,Cornell University,484,22,220,private,74.8,166,32.2,400,52.9,238,76.0,220,81.9,21,81.2,19,49 : 51,"22,319",25%,9.8,Business & Management,/world-university-rankings/cornell-university
香港科技大学 hkust,,Hong Kong,11,The Hong Kong University of Science and Technology,526,23,230,master_account,80.8,118,48.0,165,86.2,59,74.6,230,75.8,25,67.0,25,,"10,125",31%,22.3,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/hong-kong-university-science-and-technology
不列颠哥伦比亚大学 ubc,,Canada,11,University of British Columbia,486,24,240,master_account,90.2,43,31.0,484,90.4,35,73.6,240,70.5,32,62.1,37,55 : 45,"52,108",32%,18.1,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/university-british-columbia
加州大学圣地亚哥分校,,United States,0,"University of California, San Diego",497,25,250,public,98.6,8,98.1,27,60.8,188,72.9,250,64.0,42,63.0,30,46 : 54,"33,579",23%,13.0,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/university-california-san-diego
University of Warwick,,United Kingdom,0,University of Warwick,622,26,260,master_account,88.3,55,32.0,412,91.0,27,72.2,260,63.6,43,66.2,28,49 : 51,"20,599",41%,13.2,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/university-warwick
多伦多大学,,Canada,0,University of Toronto,483,27,270,master_account,76.1,159,30.5,619,85.0,70,71.6,270,72.6,29,66.4,27,59 : 41,"73,370",21%,20.1,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/university-toronto
Erasmus University Rotterdam,,Netherlands,6,Erasmus University Rotterdam,621,28,280,master_account,78.8,129,44.2,197,83.6,83,71.5,280,77.7,23,57.9,47,51 : 49,"23,167",23%,20.4,"Economics & Econometrics,Accounting & Finance,Business & Management",/world-university-rankings/erasmus-university-rotterdam
卡耐基·梅隆大学,,United States,0,Carnegie Mellon University,485,29,290,private,85.8,77,32.0,407,76.9,116,71.2,290,73.9,26,58.0,46,41 : 59,"13,430",48%,13.6,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/carnegie-mellon-university
香港大学 HKU Hong Kong University,,Hong Kong,11,University of Hong Kong,498,30,300,master_account,68.7,235,37.6,260,99.1,1,70.5,300,73.7,27,62.9,31,54 : 46,"18,260",44%,18.2,"Business & Management,Accounting & Finance,Economics & Econometrics",/world-university-rankings/university-hong-kong
东京大学,,Japan,0,The University of Tokyo,494,31,310,master_account,42.2,494,95.5,37,26.8,479,70.1,310,88.8,11,83.5,17,,"25,913",12%,10.6,"Economics & Econometrics,Business & Management,Accounting & Finance",/world-university-rankings/university-tokyo
Copenhagen Business School,,Denmark,0,Copenhagen Business School,131327,32,320,master_account,88.1,56,60.7,113,75.0,126,68.8,320,56.8,60,64.7,29,48 : 52,"16,317",25%,30.9,"Business & Management,Economics & Econometrics,Accounting & Finance",/world-university-rankings/copenhagen-business-school
Tilburg University,,Netherlands,11,Tilburg University,734,33,330,master_account,77.3,148,94.5,41,78.7,105,68.3,330,70.0,33,54.2,55,50 : 50,"8,033",15%,21.4,"Accounting & Finance,Economics & Econometrics,Business & Management",/world-university-rankings/tilburg-university
Hong Kong Polytechnic University PolyU Poly U HK PolyU,,Hong Kong,11,Hong Kong Polytechnic University,723,34,340,master_account,81.7,111,35.3,305,87.0,55,67.9,340,65.7,38,56.2,49,52 : 48,"20,388",25%,23.1,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/hong-kong-polytechnic-university
University of Minnesota,,United States,0,University of Minnesota,506,35,350,public,81.8,110,59.0,120,33.5,395,67.7,350,72.7,28,61.6,39,52 : 48,"61,120",11%,12.4,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/university-minnesota
华盛顿大学,,United States,0,University of Washington,489,36,360,public,86.8,69,30.5,626,48.2,264,67.3,360,65.5,40,62.0,38,53 : 47,"45,692",16%,11.1,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/university-washington
University of Manchester,,United Kingdom,0,University of Manchester,512,37,370,master_account,84.0,94,36.4,279,88.7,45,67.2,370,59.1,53,58.6,43,53 : 47,"37,038",40%,14.4,"Accounting & Finance,Economics & Econometrics,Business & Management",/world-university-rankings/university-manchester
墨尔本大学 UniMelb Australia,,Australia,11,University of Melbourne,501,38,380,master_account,67.3,250,50.8,156,92.5,20,66.8,380,71.5,31,55.1,53,56 : 44,"47,385",46%,26.3,"Economics & Econometrics,Business & Management,Accounting & Finance",/world-university-rankings/university-melbourne
Michigan State University,,United States,0,Michigan State University,560,39,390,public,91.5,39,30.5,588,53.5,232,66.1,390,65.9,37,52.3,61,51 : 49,"44,789",16%,16.5,"Accounting & Finance,Economics & Econometrics,Business & Management",/world-university-rankings/michigan-state-university
德克萨斯大学奥斯汀分校,,United States,0,University of Texas at Austin,493,40,400,public,75.0,164,42.8,203,26.0,489,64.9,400,71.6,30,62.7,33,52 : 48,"49,165",10%,17.2,"Accounting & Finance,Business & Management,Economics & Econometrics",/world-university-rankings/university-texas-austin
