Metric,Value,Year,Institution,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Student experience (%),87.9,2014,University of St Andrews,87.9,1.0,10.0,10007803,University of St Andrews,
Student experience (%),77.9,2014,Imperial College London,77.9,75.0,4.0,10003270,"Imperial College of Science, Technology and Medicine",11.0
Student experience (%),85.8,2014,Loughborough University,85.8,3.0,10.0,10004113,Loughborough University,
Student experience (%),68.5,2014,London School of Economics and Political Science,68.5,125.0,1.0,10004063,London School of Economics & Political Science,22.0
Student experience (%),75.0,2014,Durham University,75.0,109.0,2.0,10007143,University of Durham,18.0
Student experience (%),79.3,2014,Lancaster University,79.3,41.0,7.0,10007768,University of Lancaster,
Student experience (%),75.4,2014,University College London,75.4,105.0,2.0,10007784,University College London,17.0
Student experience (%),79.2,2014,University of Warwick,79.2,46.0,7.0,10007163,University of Warwick,6.0
Student experience (%),81.8,2014,University of Bath,81.8,15.0,9.0,10007850,University of Bath (The),
Student experience (%),80.1,2014,University of Exeter,80.1,30.0,8.0,10007792,University of Exeter,4.0
Student experience (%),80.4,2014,University of Leeds,80.4,26.0,8.0,10007795,University of Leeds,3.0
Student experience (%),77.9,2014,University of Birmingham,77.9,75.0,4.0,10006840,University of Birmingham,11.0
Student experience (%),77.2,2014,University of Bristol,77.2,85.0,3.0,10007786,University of Bristol,15.0
Student experience (%),78.2,2014,University of Glasgow,78.2,68.0,5.0,10007794,University of Glasgow,9.0
Student experience (%),82.4,2014,Harper Adams University,82.4,11.0,10.0,10040812,Harper Adams University,
Student experience (%),77.2,2014,University of Manchester,77.2,85.0,4.0,10007798,The University of Manchester,15.0
Student experience (%),80.6,2014,"Royal Holloway, University of London",80.6,25.0,9.0,10005553,Royal Holloway College and Bedford New College,
Student experience (%),78.6,2014,University of Southampton,78.6,59.0,6.0,10007158,University of Southampton,8.0
Student experience (%),78.0,2014,University of Nottingham,78.0,70.0,5.0,10007154,University of Nottingham,10.0
Student experience (%),81.0,2014,University of York,81.0,24.0,9.0,10007167,University of York,2.0
Student experience (%),79.0,2014,University of East Anglia,79.0,50.0,6.0,10007789,University of East Anglia,
Student experience (%),83.8,2014,University of Dundee,83.8,5.0,10.0,10007852,University of Dundee,
Student experience (%),72.6,2014,University of Edinburgh,72.6,118.0,1.0,10007790,University of Edinburgh,20.0
Student experience (%),82.1,2014,University of Sheffield,82.1,13.0,9.0,10007157,University of Sheffield,1.0
Student experience (%),81.1,2014,University of Aberdeen,81.1,22.0,9.0,10007783,University of Aberdeen,
Student experience (%),78.7,2014,Newcastle University,78.7,57.0,6.0,10007799,University of Newcastle Upon Tyne,7.0
Student experience (%),80.0,2014,University of Liverpool,80.0,31.0,8.0,10006842,University of Liverpool,5.0
Student experience (%),72.5,2014,King's College London,72.5,119.0,1.0,10003645,King's College London,21.0
Student experience (%),81.5,2014,Swansea University,81.5,18.0,9.0,10007855,Swansea University,
Student experience (%),78.2,2014,University of Surrey,78.2,68.0,5.0,10007160,University of Surrey,
Student experience (%),77.9,2014,Heriot-Watt University,77.9,75.0,4.0,10007764,Heriot-Watt University,
Student experience (%),77.5,2014,Cardiff University,77.5,80.0,4.0,10007814,Cardiff University,13.0
Student experience (%),77.4,2014,"Queen's University, Belfast",77.4,81.0,4.0,10005343,The Queen's University of Belfast,14.0
