Subject rank,Overall rank,University,Student experience,Research quality,Entry points,Graduate prospects,Total score
1,22=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : newcastle university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3308/newcastle-university"">Newcastle University</a>",82.3,18.3,358,81.6,100.0
2,33,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of reading', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3321/university-of-reading"">University of Reading</a>",85.6,21.7,372,64.6,99.8
3,38,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen's university, belfast', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3320/queens-university-belfast"">Queen's University, Belfast</a>",83.5,13.3,368,67.1,95.9
4,26,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of glasgow', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3273/university-of-glasgow"">University of Glasgow</a>",n/a,21.7,353,n/a,95.8
5,63,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : harper adams university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3277/harper-adams-university"">Harper Adams University</a>",85.6,8.3,339,72.7,94.6
6,49,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : oxford brookes university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3315/oxford-brookes-university"">Oxford Brookes University</a>",n/a,n/a,438,54.5,93.4
7,22=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of nottingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3312/university-of-nottingham"">University of Nottingham</a>",78.1,30.0,371,43.8,93.3
8,30,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of kent', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3285/university-of-kent"">University of Kent</a>",82.0,n/a,414,53.8,89.8
9,68,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of england', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3344/university-of-the-west-of-england"">University of the West of England</a>",n/a,18.3,n/a,48.1,89.6
10,98,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of greenwich', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3276/university-of-greenwich"">University of Greenwich</a>",n/a,13.3,365,41.9,86.3
11,93,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aberystwyth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3233/aberystwyth-university"">Aberystwyth University</a>",74.9,21.7,321,46.2,85.5
12,50,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bangor university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3237/bangor-university"">Bangor University</a>",79.9,18.3,277,50.7,85.2
13,80,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : plymouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3316/plymouth-university"">Plymouth University</a>",86.9,3.3,n/a,33.3,82.5
14,77=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of central lancashire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3254/university-of-central-lancashire"">University of Central Lancashire</a>",n/a,n/a,366,43.7,81.8
15,60,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of lincoln', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3292/university-of-lincoln"">University of Lincoln</a>",67.2,6.7,n/a,64.5,79.5
16,n/a,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : royal agricultural university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3358/royal-agricultural-university"">Royal Agricultural University</a>",71.6,5.0,313,56.9,79.4
17,52,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : nottingham trent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3313/nottingham-trent-university"">Nottingham Trent University</a>",76.2,n/a,284,58.7,78.6
18,121,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the highlands and islands', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3280/university-of-the-highlands-and-islands"">University of the Highlands and Islands</a>",n/a,1.7,n/a,50.0,78.0
19,95,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cumbria', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3260/university-of-cumbria"">University of Cumbria</a>",79.7,0.0,264,30.4,72.1
