Subject rank,Overall rank,Institution,Teaching quality,Student experience,Research quality,Entry standards,Graduate prospects,Overall rating
1,6,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of warwick', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3606/university-of-warwick"">University of Warwick</a>",75.9%,81.5%,59.8%,497,75.0%,100.0
2,31,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen's university, belfast', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3583/queens-university-belfast"">Queen's University, Belfast</a>",88.6%,90.8%,53.1%,371,72.7%,96.8
3,17,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of birmingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3503/university-of-birmingham"">University of Birmingham</a>",89.7%,81.5%,37.0%,430,77.9%,96.6
4,11,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : lancaster university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3549/lancaster-university"">Lancaster University</a>",76.7%,76.8%,47.0%,450,73.3%,95.0
5,23=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : newcastle university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3571/newcastle-university"">Newcastle University</a>",84.9%,88.7%,54.3%,391,n/a,94.1
6,25,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of nottingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3575/university-of-nottingham"">University of Nottingham</a>",79.5%,76.5%,56.6%,398,63.4%,93.1
7,8,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of surrey', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3598/university-of-surrey"">University of Surrey</a>",82.4%,82.8%,39.1%,n/a,73.7%,92.5
8=,36,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : royal holloway, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3562/royal-holloway-university-of-london"">Royal Holloway, University of London</a>",77.8%,75.9%,49.9%,434,56.4%,91.6
8=,52,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bangor university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3499/bangor-university"">Bangor University</a>",93.9%,91.8%,46.3%,323,56.4%,91.6
10,18,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east anglia', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3527/university-of-east-anglia"">University of East Anglia</a>",77.7%,85.9%,36.2%,442,55.7%,90.5
