Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
1,17,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of birmingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3503/university-of-birmingham"">University of Birmingham</a>",68.7%,84.9%,63.7%,419,84.8%,100.0
2,7,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of exeter', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3533/university-of-exeter"">University of Exeter</a>",79.1%,88.6%,24.4%,471,82.8%,97.8
3,8,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of surrey', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3598/university-of-surrey"">University of Surrey</a>",88.4%,91.4%,33.6%,409,60.2%,94.9
4,46,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of strathclyde', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3596/university-of-strathclyde"">University of Strathclyde</a>",84.3%,87.5%,44.3%,n/a,68.3%,93.9
5,74,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool john moores university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3557/liverpool-john-moores-university"">Liverpool John Moores University</a>",91.7%,90.9%,45.3%,342,36.1%,90.2
6,22,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of edinburgh', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3530/university-of-edinburgh"">University of Edinburgh</a>",73.0%,87.7%,26.1%,385,n/a,88.4
7,55,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : oxford brookes university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3578/oxford-brookes-university"">Oxford Brookes University</a>",87.5%,85.6%,5.1%,374,68.0%,88.3
8,47,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : coventry university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3520/coventry-university"">Coventry University</a>",95.3%,94.9%,1.6%,317,71.1%,88.1
9,69=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : robert gordon university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3585/robert-gordon-university"">Robert Gordon University</a>",83.9%,87.2%,2.6%,381,60.3%,86.4
10,76,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hertfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3541/university-of-hertfordshire"">University of Hertfordshire</a>",91.8%,94.5%,0.9%,325,55.1%,84.9
11,57,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : ulster university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3603/ulster-university"">Ulster University</a>",92.1%,92.4%,31.0%,286,34.8%,84.8
12,53,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : de montfort university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3523/de-montfort-university"">De Montfort University</a>",87.7%,87.3%,n/a,298,68.4%,83.9
13,62=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of lincoln', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3554/university-of-lincoln"">University of Lincoln</a>",83.1%,77.9%,11.4%,318,61.5%,83.7
14=,72,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : sheffield hallam university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3591/sheffield-hallam-university"">Sheffield Hallam University</a>",83.0%,87.2%,8.5%,325,53.1%,83.2
14=,93,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edinburgh napier university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3531/edinburgh-napier-university"">Edinburgh Napier University</a>",87.2%,89.3%,2.3%,353,43.8%,83.2
16,28=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of manchester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3568/university-of-manchester"">University of Manchester</a>",67.5%,77.7%,n/a,380,69.6%,82.8
17,119,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cumbria', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3522/university-of-cumbria"">University of Cumbria</a>",94.1%,91.8%,3.2%,258,58.4%,82.6
18,87,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of chester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3517/university-of-chester"">University of Chester</a>",84.5%,84.5%,6.6%,304,55.9%,82.3
19,64=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of winchester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3610/university-of-winchester"">University of Winchester</a>",90.1%,91.5%,n/a,291,53.4%,82.0
20,98,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of salford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3589/university-of-salford"">University of Salford</a>",80.5%,80.8%,5.9%,368,40.9%,81.6
