Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
1,1,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cambridge', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3906/university-of-cambridge"">University of Cambridge</a>",n/a,n/a,58.7%,225,89.8%,100
2,2,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of oxford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3976/university-of-oxford"">University of Oxford</a>",n/a,n/a,51.8%,208,83.9%,94.6
3,8,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university college london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3961/university-college-london"">University College London</a>",75.8%,67.7%,57.7%,206,89.2%,94.5
4,9,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london school of economics and political science', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3956/london-school-of-economics-and-political-science"">London School of Economics and Political Science</a>",71.2%,67.9%,64.5%,209,85.8%,93.7
5,26,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of aberdeen', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3884/university-of-aberdeen"">University of Aberdeen</a>",83.7%,84.6%,20.9%,198,90.2%,92.9
6,17,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of glasgow', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3928/university-of-glasgow"">University of Glasgow</a>",74.7%,78.5%,33.8%,233,84.5%,92.6
7,7,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : durham university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3919/durham-university"">Durham University</a>",79.6%,75.9%,32.8%,209,86.0%,92.2
8,27,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of dundee', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3918/university-of-dundee"">University of Dundee</a>",87.0%,86.0%,16.3%,184,89.4%,92.1
9,28,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of edinburgh', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3923/university-of-edinburgh"">University of Edinburgh</a>",74.0%,76.0%,40.8%,198,85.4%,91.2
10,11,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of leeds', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3943/university-of-leeds"">University of Leeds</a>",82.7%,87.7%,40.1%,169,79.2%,91.1
11=,16,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of nottingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3973/university-of-nottingham"">University of Nottingham</a>",74.6%,74.4%,45.2%,181,86.3%,90.9
