Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
1,36,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of strathclyde', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4123/university-of-strathclyde"">University of Strathclyde</a>",88.1%,80.4%,31.9%,185,n/a,100.0
2,16,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of glasgow', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4060/university-of-glasgow"">University of Glasgow</a>",90.4%,83.9%,41.8%,189,61.2%,97.5
3,6,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london school of economics and political science', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4086/london-school-of-economics-and-political-science"">London School of Economics and Political Science</a>",71.4%,62.6%,74.9%,163,87.4%,97.4
4,5,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : loughborough university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4093/loughborough-university"">Loughborough University</a>",87.1%,85.6%,40.6%,154,75.6%,95.6
5,11,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bath', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4025/university-of-bath"">University of Bath</a>",77.5%,79.5%,43.4%,150,90.4%,95.4
6,13,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of leeds', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4075/university-of-leeds"">University of Leeds</a>",80.5%,79.0%,47.6%,158,72.7%,94.2
7,54,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of kent', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4072/university-of-kent"">University of Kent</a>",85.7%,81.6%,59.0%,127,72.2%,93.7
8,21,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of nottingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4101/university-of-nottingham"">University of Nottingham</a>",81.3%,78.5%,43.5%,149,77.5%,93.6
9,15,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bristol', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4034/university-of-bristol"">University of Bristol</a>",71.5%,68.8%,47.9%,154,80.8%,91.9
10,70,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bangor university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4024/bangor-university"">Bangor University</a>",87.3%,82.1%,39.6%,130,72.1%,91.7
11=,25,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of edinburgh', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4055/university-of-edinburgh"">University of Edinburgh</a>",68.9%,65.1%,53.4%,191,57.5%,91.3
11=,14,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of birmingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4028/university-of-birmingham"">University of Birmingham</a>",73.8%,67.9%,40.1%,151,82.7%,91.3
13=,31,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : swansea university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4128/swansea-university"">Swansea University</a>",85.2%,83.8%,22.7%,131,78.8%,90.4
13=,22,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of york', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4142/university-of-york"">University of York</a>",77.3%,76.3%,47.5%,124,78.4%,90.4
15,20,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of southampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4119/university-of-southampton"">University of Southampton</a>",78.5%,72.8%,52.8%,137*,n/a,89.9
16,35,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen's university, belfast', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4110/queens-university-belfast"">Queen's University, Belfast</a>",81.5%,n/a,26.2%,144*,69.0%,88.8
17,26,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sheffield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4117/university-of-sheffield"">University of Sheffield</a>",77.3%,72.8%,26.8%,144*,73.1%,88.2
18=,111,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of salford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4116/university-of-salford"">University of Salford</a>",84.7%,77.9%,27.7%,132,66.1%,87.9
18=,47,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of stirling', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4122/university-of-stirling"">University of Stirling</a>",71.1%,72.0%,33.8%,165,62.5%,87.9
20,50,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : coventry university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4045/coventry-university"">Coventry University</a>",82.1%,84.4%,5.6%,n/a,70.6%,87.6
21,125,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bolton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4030/university-of-bolton"">University of Bolton</a>",92.4%,83.1%,1.0%,n/a,60.0%,87.4
22,60,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool hope university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4081/liverpool-hope-university"">Liverpool Hope University</a>",81.7%,77.2%,8.6%,124,83.3%,87.0
23,48,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aston university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4023/aston-university"">Aston University</a>",71.3%,67.1%,38.6%,122,75.8%,85.8
24,55,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edge hill university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4054/edge-hill-university"">Edge Hill University</a>",82.4%,79.2%,5.7%,135,n/a,85.4
25,46,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : keele university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4071/keele-university"">Keele University</a>",79.5%,82.0%,25.0%,130*,58.5%,85.1
26,34,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4040/cardiff-university"">Cardiff University</a>",71.9%,72.0%,30.8%,130,65.6%,84.3
27,75,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of central lancashire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4041/university-of-central-lancashire"">University of Central Lancashire</a>",77.8%,75.6%,11.8%,122,65.9%,82.6
28,74,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : de montfort university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4048/de-montfort-university"">De Montfort University</a>",71.2%,73.1%,11.2%,124,74.1%,82.4
29,124,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of wolverhampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4140/university-of-wolverhampton"">University of Wolverhampton</a>",90.1%,85.2%,n/a,117,54.6%,82.2
